"Player","Start","End","Matches","Innings","Balls","Runs","Wickets","Average","Economy","StrikeRate","BestBowlingInnings","FourWickets","FiveWickets"
"UT Yadav ",2010,2018,75,73,3558,3565,106,33.6320754716981,6.01180438448567,33.5660377358491,"4/31",4,0
"PJ Cummins ",2011,2020,64,64,3363,2893,105,27.552380952381,5.1614629794826,32.0285714285714,"5/70",5,1
"JJ Bumrah ",2016,2020,64,64,3346,2541,104,24.4326923076923,4.55648535564854,32.1730769230769,"5/27",5,1
"GW Flower ",1992,2010,221,156,5462,4225,104,40.625,4.64115708531673,52.5192307692308,"4/32",2,0
"Kuldeep Yadav ",2017,2020,60,58,3192,2721,104,26.1634615384615,5.11466165413534,30.6923076923077,"6/25",4,1
"GP Swann ",2000,2013,79,76,3809,2888,104,27.7692307692308,4.54922551850879,36.625,"5/28",3,1
"DK Lillee ",1972,1983,63,63,3593,2145,103,20.8252427184466,3.58196493181186,34.8834951456311,"5/34",5,1
"C Pringle ",1990,1995,64,64,3314,2459,103,23.873786407767,4.45202172601086,32.1747572815534,"5/45",2,1
"ST Finn ",2011,2017,69,67,3550,2996,102,29.3725490196078,5.06366197183099,34.8039215686275,"5/33",4,2
"E Chigumbura ",2004,2018,213,132,4339,4274,101,42.3168316831683,5.91011753860337,42.960396039604,"4/28",1,0
"WKM Benjamin ",1986,1995,85,85,4442,3079,100,30.79,4.15893741557857,44.42,"5/22",0,1
"SC Ganguly ",1992,2007,311,171,4561,3849,100,38.49,5.06336329752247,45.61,"5/16",1,2
"RA Harper ",1983,1996,105,99,5175,3431,100,34.31,3.97797101449275,51.75,"4/40",3,0
"CK Langeveldt ",2001,2010,72,71,3489,2962,100,29.62,5.09372312983663,34.89,"5/39",1,2
"RW Price ",2002,2012,102,99,5374,3575,100,35.75,3.99144026795683,53.74,"4/22",1,0
"NJ Astle ",1995,2007,223,159,4850,3809,99,38.4747474747475,4.71216494845361,48.989898989899,"4/43",1,0
"CJ McKay ",2009,2014,59,59,2965,2364,97,24.3711340206186,4.78381112984823,30.5670103092784,"5/28",4,2
"PL Taylor ",1987,1992,83,80,3937,2740,97,28.2474226804124,4.1757683515367,40.5876288659794,"4/38",1,0
"N Boje ",1995,2005,115,108,4541,3415,96,35.5729166666667,4.51222197753799,47.3020833333333,"5/21",2,1
"JP Faulkner ",2013,2017,69,67,3211,2962,96,30.8541666666667,5.53472438492681,33.4479166666667,"4/32",4,0
"V Sehwag ",1999,2013,251,146,4392,3853,96,40.1354166666667,5.26366120218579,45.75,"4/6",1,0
"PA Strang ",1994,2001,95,89,4351,3173,96,33.0520833333333,4.37554585152838,45.3229166666667,"5/21",2,2
"TL Chatara ",2013,2019,70,70,3431,2905,95,30.5789473684211,5.08015155931215,36.1157894736842,"4/33",1,0
"PS de Villiers ",1992,1997,83,82,4422,2636,95,27.7473684210526,3.57666214382632,46.5473684210526,"4/27",2,0
"AJ Hall ",1999,2007,88,78,3341,2515,95,26.4736842105263,4.51661179287638,35.1684210526316,"5/18",3,1
"WD Parnell ",2009,2017,65,61,2911,2738,94,29.1276595744681,5.64342150463758,30.968085106383,"5/48",3,2
"SO Tikolo ",1996,2014,135,99,4016,3215,94,34.2021276595745,4.80328685258964,42.7234042553191,"4/41",2,0
"LL Tsotsobe ",2009,2013,61,60,2964,2347,94,24.968085106383,4.75101214574899,31.531914893617,"4/22",7,0
"CB Mpofu ",2004,2020,84,83,3960,3581,93,38.505376344086,5.42575757575758,42.5806451612903,"6/52",2,1
"MJ Henry ",2014,2019,52,50,2703,2437,92,26.4891304347826,5.40954495005549,29.3804347826087,"5/30",7,2
"SP Narine ",2011,2016,65,65,3540,2435,92,26.4673913043478,4.1271186440678,38.4782608695652,"6/27",4,2
"YS Chahal ",2016,2020,52,51,2779,2351,91,25.8351648351648,5.07592659229939,30.5384615384615,"6/42",2,2
"AC Cummins ",1991,2007,76,74,3767,2877,91,31.6153846153846,4.58242633395275,41.3956043956044,"5/31",2,1
"BP Patterson ",1986,1993,59,58,3050,2206,90,24.5111111111111,4.33967213114754,33.8888888888889,"6/29",1,1
"BL Cairns ",1974,1985,78,75,4015,2717,89,30.5280898876404,4.06027397260274,45.1123595505618,"5/28",2,1
"GH Dockrell ",2010,2019,87,85,4232,3327,89,37.3820224719101,4.71691871455577,47.5505617977528,"4/24",4,0
"Saleem Malik ",1982,1999,283,120,3505,2959,89,33.247191011236,5.06533523537803,39.3820224719101,"5/35",1,1
"MN Samuels ",2000,2018,207,134,5091,4127,89,46.3707865168539,4.86387743076016,57.2022471910112,"3/12",0,0
"TM Alderman ",1981,1991,65,65,3371,2056,88,23.3636363636364,3.65944823494512,38.3068181818182,"5/17",1,2
"GF Lawson ",1980,1989,79,79,4259,2592,88,29.4545454545455,3.65156139938953,48.3977272727273,"4/26",1,0
"GJ Whittall ",1993,2003,147,112,4060,3481,88,39.5568181818182,5.14433497536946,46.1363636363636,"4/35",1,0
"AME Roberts ",1975,1983,56,56,3123,1771,87,20.3563218390805,3.40249759846302,35.8965517241379,"5/22",2,1
"MM Patel ",2006,2011,70,67,3154,2603,86,30.2674418604651,4.95180722891566,36.6744186046512,"4/29",3,0
"Aamer Sohail ",1990,2000,156,125,4836,3703,85,43.5647058823529,4.59429280397022,56.8941176470588,"4/22",1,0
"MM Ali ",2014,2020,102,96,4714,4131,85,48.6,5.25795502757743,55.4588235294118,"4/46",1,0
"IJ Harvey ",1997,2004,73,70,3279,2577,85,30.3176470588235,4.71546203110704,38.5764705882353,"4/16",4,0
"RM Hogg ",1979,1985,71,67,3677,2418,85,28.4470588235294,3.94560783247212,43.2588235294118,"4/29",5,0
"JR Ratnayeke ",1982,1990,78,76,3573,2866,85,33.7176470588235,4.8127623845508,42.0352941176471,"4/23",1,0
"ME Waugh ",1988,2002,244,120,3687,2938,85,34.5647058823529,4.78112286411717,43.3764705882353,"5/24",1,1
"CD Collymore ",1999,2007,84,80,4074,2924,83,35.2289156626506,4.30633284241532,49.0843373493976,"5/51",1,1
"Mohammad Irfan ",2010,2016,60,60,3109,2549,83,30.710843373494,4.91926664522355,37.4578313253012,"4/30",2,0
"PV Simmons ",1987,1999,143,103,3880,2876,83,34.6506024096386,4.44742268041237,46.7469879518072,"4/3",2,0
"Hasan Ali ",2016,2019,53,51,2548,2381,82,29.0365853658537,5.60675039246468,31.0731707317073,"5/34",1,3
"MJ McClenaghan ",2013,2016,48,45,2336,2313,82,28.2073170731707,5.94092465753425,28.4878048780488,"5/58",6,1
"CG Rackemann ",1983,1991,52,52,2791,1833,82,22.3536585365854,3.94052310999642,34.0365853658537,"5/16",3,1
"JEC Franklin ",2001,2013,110,97,3848,3354,81,41.4074074074074,5.22972972972973,47.5061728395062,"5/42",0,1
"Mohammad Amir ",2009,2019,61,60,3013,2400,81,29.6296296296296,4.77928974444076,37.1975308641975,"5/30",1,1
"DJG Sammy ",2004,2015,126,119,4956,3851,81,47.5432098765432,4.66222760290557,61.1851851851852,"4/26",1,0
"RGD Willis ",1973,1984,64,64,3595,1968,80,24.6,3.28456189151599,44.9375,"4/11",4,0
"CR Matthews ",1991,1997,56,55,3003,1975,79,25,3.94605394605395,38.0126582278481,"4/10",3,0
"A Ranatunga ",1982,1999,269,135,4710,3757,79,47.5569620253165,4.7859872611465,59.620253164557,"4/14",1,0
"AJ Bichel ",1997,2004,67,66,3257,2463,78,31.5769230769231,4.53730426773104,41.7564102564103,"7/20",1,2
"IDR Bradshaw ",2004,2007,62,62,3172,2299,78,29.474358974359,4.34867591424968,40.6666666666667,"3/15",0,0
"JR Hazlewood ",2010,2020,48,47,2531,2003,78,25.6794871794872,4.74832082180956,32.4487179487179,"6/52",1,3
"PJ Ongondo ",1999,2011,79,79,3102,2350,78,30.1282051282051,4.54545454545455,39.7692307692308,"5/51",1,1
"RMH Binny ",1980,1987,72,67,2957,2260,77,29.3506493506494,4.58572877916808,38.4025974025974,"4/29",3,0
"Iftikhar Anjum ",2004,2010,62,60,2960,2430,77,31.5584415584416,4.92567567567568,38.4415584415584,"5/30",2,1
"P Kumar ",2007,2012,68,67,3242,2774,77,36.025974025974,5.13386798272671,42.1038961038961,"4/31",3,0
"R McLaren ",2009,2014,54,51,2403,2102,77,27.2987012987013,5.24843945068664,31.2077922077922,"4/19",5,0
"JE Emburey ",1980,1993,61,61,3425,2346,76,30.8684210526316,4.10978102189781,45.0657894736842,"4/37",2,0
"SJ Harmison ",2002,2009,58,57,2899,2481,76,32.6447368421053,5.13487409451535,38.1447368421053,"5/33",2,1
"RD King ",1998,2005,50,50,2603,1807,76,23.7763157894737,4.1651940069151,34.25,"4/25",2,0
"Mahmudullah ",2007,2020,188,136,4132,3561,76,46.8552631578947,5.17086156824782,54.3684210526316,"3/4",0,0
"RJ Ratnayake ",1982,1993,70,70,3575,2712,76,35.6842105263158,4.55160839160839,47.0394736842105,"5/32",1,1
"GB Brent ",1996,2008,70,69,3390,2776,75,37.0133333333333,4.91327433628319,45.2,"4/22",3,0
"RJ Peterson ",2002,2014,79,74,3278,2680,75,35.7333333333333,4.90543014032947,43.7066666666667,"4/12",3,0
"S Sreesanth ",2005,2011,53,52,2476,2508,75,33.44,6.07754442649435,33.0133333333333,"6/55",2,1
"A Zampa ",2016,2020,55,55,2888,2701,75,36.0133333333333,5.61149584487535,38.5066666666667,"4/43",1,0
"HMRKB Herath ",2004,2015,71,67,3242,2362,74,31.9189189189189,4.37137569401604,43.8108108108108,"4/20",1,0
"TJ Murtagh ",2012,2019,58,57,3020,2290,74,30.9459459459459,4.54966887417219,40.8108108108108,"5/21",4,1
"W Watson ",1986,1994,61,61,3251,2247,74,30.3648648648649,4.14703168255921,43.9324324324324,"4/27",1,0
"AR Border ",1979,1994,273,87,2661,2071,73,28.3698630136986,4.66967305524239,36.4520547945205,"3/20",0,0
"RS Kalpage ",1992,1999,86,81,3960,2975,73,40.7534246575342,4.50757575757576,54.2465753424658,"4/36",2,0
"S Madan Lal ",1974,1987,67,64,3164,2137,73,29.2739726027397,4.05246523388116,43.3424657534247,"4/20",2,0
"J Botha ",2005,2012,78,75,3823,2916,72,40.5,4.57651059377452,53.0972222222222,"4/19",1,0
