"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"PADLR Sandakan ",2016,2020,24,24,8,8,8,0,0,2
"Sarfraz Nawaz ",1973,1984,45,45,8,8,8,0,0,1
"TL Seifert ",2019,2019,3,3,8,7,0,7,1,4
"Shadab Khan ",2017,2019,43,43,8,8,8,0,0,1
"Shafiul Islam ",2010,2020,60,60,8,8,8,0,0,2
"L Siaka ",2014,2019,25,25,8,8,8,0,0,2
"SB Smith ",1983,1985,28,27,8,8,8,0,0,1
"IS Sodhi ",2015,2020,33,32,8,8,8,0,0,2
"Syed Rasel ",2005,2010,52,52,8,8,8,0,0,2
"SW Tait ",2007,2011,35,35,8,8,8,0,0,2
"Tapash Baisya ",2002,2007,56,56,8,8,8,0,0,1
"SR Taylor ",2019,2020,12,12,8,8,8,0,0,2
"SR Thompson ",2013,2017,20,19,8,8,8,0,0,1
"N Vanua ",2014,2019,23,23,8,8,8,0,0,2
"MRJ Veletta ",1987,1989,20,20,8,8,7,1,0,3
"DM Wellham ",1981,1987,17,17,8,8,8,0,0,2
"LR Williams ",1996,2001,15,15,8,8,8,0,0,2
"KJ Wright ",1979,1979,5,5,8,8,0,8,0,2
"KJ Abbott ",2013,2016,28,27,7,7,7,0,0,2
"Abdur Rehman ",2006,2014,31,31,7,7,7,0,0,2
"PR Adams ",1996,2003,24,24,7,7,7,0,0,2
"Al Sahariar ",1999,2003,29,29,7,7,7,0,0,2
"Asif Iqbal ",1973,1979,10,10,7,7,7,0,0,2
"KBJ Azad ",1980,1986,25,24,7,7,7,0,0,2
"GEF Barnett ",2006,2010,22,22,7,7,7,0,0,1
"DE Bernard ",2003,2010,20,19,7,7,7,0,0,1
"IS Billcliff ",2003,2009,19,19,7,7,7,0,0,2
"D Bishoo ",2011,2019,42,41,7,7,7,0,0,1
"GS Blewett ",1995,1999,32,32,7,7,7,0,0,2
"JL Carter ",2015,2019,33,32,7,7,7,0,0,2
"NM Coulter-Nile ",2013,2019,32,32,7,7,7,0,0,1
"CD de Lange ",2016,2017,13,13,7,7,7,0,0,3
"TBM de Leede ",1996,2007,29,29,7,7,7,0,0,2
"JL Denly ",2009,2020,16,16,7,7,7,0,0,2
"AIC Dodemaide ",1988,1993,24,24,7,7,7,0,0,2
"MG Erasmus ",2019,2020,8,8,7,7,7,0,0,2
"CJ Ferguson ",2009,2011,30,29,7,7,7,0,0,2
"SR Gillespie ",1986,1988,19,19,7,7,7,0,0,2
"G Goudie ",2008,2013,16,16,7,7,7,0,0,2
"AW Greig ",1972,1977,22,21,7,7,7,0,0,3
"R Gunasekera ",2008,2014,19,19,7,7,7,0,0,2
"GM Hamilton ",1999,2010,38,38,7,6,6,0,1,1
"AS Hansra ",2010,2014,24,24,7,7,7,0,0,1
"MN Hart ",1994,2002,13,13,7,7,7,0,0,2
"DL Hemp ",2006,2009,22,22,7,7,7,0,0,3
"AG Huckle ",1997,1999,19,19,7,7,7,0,0,2
"Humayun Farhat ",2001,2001,5,5,7,4,0,4,3,3
"KAD Hurdle ",2006,2007,19,19,7,7,7,0,0,1
"Imam-ul-Haq ",2017,2019,37,36,7,7,7,0,0,1
"Jahurul Islam ",2010,2013,14,14,7,7,3,4,0,3
"NG Jones ",2010,2011,14,14,7,7,7,0,0,2
"S Randiv ",2009,2016,31,30,7,7,7,0,0,1
"SHT Kandamby ",2004,2014,39,38,7,7,7,0,0,2
"P Khadka ",2018,2020,10,10,7,7,7,0,0,3
"Khawar Ali ",2019,2020,11,11,7,7,7,0,0,2
"Kuldeep Yadav ",2017,2020,60,59,7,7,7,0,0,1
"NR Kumar ",2010,2014,16,16,7,7,7,0,0,2
"RN Lewis ",1997,2009,28,28,7,7,7,0,0,1
"NM Lyon ",2012,2019,29,29,7,7,7,0,0,2
"PD McGlashan ",2009,2009,4,4,7,7,0,7,0,3
"CJ McKay ",2009,2014,59,59,7,7,7,0,0,3
"CS Martin ",2001,2008,20,19,7,7,7,0,0,1
"SW Masakadza ",2010,2014,16,16,7,7,7,0,0,3
"Mehrab Hossain jnr ",2006,2009,18,18,7,7,7,0,0,1
"Mohammad Mithun ",2014,2020,27,27,7,7,7,0,0,2
"VV Morea ",2014,2018,13,13,7,7,7,0,0,2
"CT Mutombodzi ",2013,2020,14,14,7,7,7,0,0,3
"B Muzarabani ",2018,2018,18,18,7,7,7,0,0,2
"Naimur Rahman ",1995,2002,29,29,7,7,7,0,0,2
"J Nyumbu ",2014,2015,19,19,7,7,7,0,0,2
"NN Odhiambo ",2006,2014,69,69,7,7,7,0,0,1
"PP Ojha ",2008,2012,18,18,7,7,7,0,0,3
"E Otieno ",2007,2014,26,26,7,7,7,0,0,2
"MK Pandey ",2015,2020,26,26,7,7,7,0,0,1
"BJ Patel ",2001,2006,31,31,7,7,7,0,0,1
"H Patel ",2009,2013,23,22,7,7,7,0,0,2
"SR Patel ",2008,2013,36,36,7,7,7,0,0,2
"NS Poonia ",2006,2009,21,20,7,7,7,0,0,2
"S Prasanna ",2011,2019,40,40,7,7,7,0,0,1
"C Pringle ",1990,1995,64,64,7,7,7,0,0,1
"SMA Priyanjan ",2013,2015,23,23,7,7,7,0,0,1
"DJ Reekers ",2006,2009,19,19,7,7,7,0,0,2
"KW Richardson ",2013,2020,25,25,7,7,7,0,0,2
"BG Rogers ",2002,2005,15,15,7,7,7,0,0,1
"V Shankar ",2019,2019,12,12,7,7,7,0,0,1
"C Sharma ",1983,1994,65,64,7,7,7,0,0,1
"SK Sharma ",1988,1990,23,23,7,7,7,0,0,2
"M Sheikh ",1997,2000,21,21,7,7,7,0,0,1
"L Sivaramakrishnan ",1985,1987,16,16,7,7,7,0,0,3
"GC Small ",1987,1992,53,53,7,7,7,0,0,2
"RP Snell ",1991,1996,42,42,7,7,7,0,0,1
"Sohag Gazi ",2012,2014,20,20,7,7,7,0,0,2
"TB Sole ",2018,2019,10,10,7,7,7,0,0,2
"S Sreesanth ",2005,2011,53,52,7,7,7,0,0,1
"WF Stelling ",2006,2007,15,15,7,7,7,0,0,1
"ES Szwarczynski ",2006,2014,41,41,7,7,7,0,0,1
"Taskin Ahmed ",2014,2017,32,31,7,7,7,0,0,1
"CJ Tavare ",1980,1984,29,29,7,7,7,0,0,2
"JWA Taylor ",2011,2015,27,27,7,7,7,0,0,3
"AC Voges ",2007,2013,31,31,7,7,7,0,0,2
"DF Watts ",2006,2011,36,35,7,7,7,0,0,2
"VJ Wells ",1999,1999,9,9,7,7,7,0,0,3
"Aftab Alam ",2010,2019,27,27,6,6,6,0,0,2
"AC Agar ",2015,2020,13,13,6,6,6,0,0,1
"FA Allen ",2018,2020,14,13,6,6,6,0,0,2
"Ashfaq Ahmed ",2018,2019,16,16,6,6,6,0,0,2
"IDR Bradshaw ",2004,2007,62,62,6,6,6,0,0,1
"JP Bray ",2006,2007,15,15,6,6,5,1,0,2
"AD Brown ",1996,2001,16,16,6,6,6,0,0,2
"DG Brownlie ",2012,2017,16,16,6,6,6,0,0,1
"Mudassar Bukhari ",2007,2014,46,46,6,6,6,0,0,1
"LJ Burger ",2003,2003,6,6,6,6,6,0,0,3
"DJ Callaghan ",1992,2000,29,28,6,6,6,0,0,2
"DJ Capel ",1987,1990,23,23,6,6,6,0,0,2
"TL Chatara ",2013,2019,70,70,6,6,6,0,0,1
"S Chattergoon ",2006,2009,18,17,6,6,6,0,0,2
"TS Chisoro ",2015,2018,18,17,6,6,6,0,0,2
"GR Codrington ",2006,2007,17,17,6,6,6,0,0,1
"DG Cork ",1992,2002,32,32,6,6,6,0,0,2
"CD Cumming ",2003,2009,13,13,6,6,6,0,0,2
"WM Darling ",1978,1982,18,17,6,6,6,0,0,3
"TN de Grooth ",2006,2013,34,34,6,6,6,0,0,1
"AM de Silva ",1986,1993,4,4,6,4,0,4,2,3
"EAR de Silva ",1986,1992,28,28,6,6,6,0,0,2
"T Duffin ",2006,2007,23,23,6,6,6,0,0,1
"PH Edmonds ",1977,1987,29,29,6,6,6,0,0,2
"Enamul Haque ",1990,2002,29,29,6,6,6,0,0,3
"N Pradeep ",2012,2020,45,44,6,6,6,0,0,2
"WIA Fernando ",2016,2020,18,18,6,6,6,0,0,2
"G Fowler ",1983,1986,26,26,6,4,2,2,2,3
"AD Gaekwad ",1975,1987,15,14,6,6,6,0,0,1
"MR Gillespie ",2006,2009,32,31,6,6,6,0,0,2
"Hamza Tariq ",2011,2014,7,7,6,5,0,5,1,2
"RJ Harris ",2009,2012,21,21,6,6,6,0,0,1
"Harvinder Singh ",1997,2001,16,16,6,6,6,0,0,1
"Hasibul Hossain ",1995,2004,32,32,6,6,6,0,0,2
"UC Hathurusingha ",1992,1999,35,35,6,6,6,0,0,1
"VA Holder ",1973,1978,12,12,6,6,6,0,0,1
"BC Hollioake ",1997,2002,20,20,6,6,6,0,0,1
"MG Hughes ",1988,1993,33,33,6,6,6,0,0,1
"Ikram Alikhil ",2019,2019,12,11,6,3,0,3,3,2
"Imtiaz Abbasi ",1994,1996,7,7,6,4,0,4,2,2
"RC Irani ",1996,2003,31,31,6,6,6,0,0,1
"WR James ",1992,1996,11,11,6,6,3,3,0,2
"TP Kamungozi ",2006,2015,14,14,6,6,6,0,0,2
"AY Karim ",1996,2003,34,34,6,6,6,0,0,1
"Karim Sadiq ",2009,2016,24,24,6,6,6,0,0,2
"Khurram Khan ",2004,2015,16,16,6,6,6,0,0,2
"CL King ",1976,1980,18,18,6,6,6,0,0,1
"JK Lever ",1976,1982,22,22,6,6,6,0,0,2
"DK Liyanage ",1992,2001,16,16,6,6,6,0,0,2
"NB Mahwire ",2004,2006,23,23,6,6,6,0,0,2
"Manjural Islam Rana ",2003,2006,25,25,6,6,6,0,0,1
"JJ Martin ",1999,2001,10,10,6,6,6,0,0,3
"Mehrab Hossain ",1998,2003,18,18,6,6,6,0,0,2
"Mohammad Naveed ",2014,2019,39,39,6,6,6,0,0,1
"JFM Morrison ",1975,1983,18,18,6,6,6,0,0,2
"Mujeeb Ur Rahman ",2017,2019,40,39,6,6,6,0,0,1
"Mushfiqur Rahman ",2000,2004,28,28,6,6,6,0,0,1
"MV Nagamootoo ",2000,2002,24,24,6,6,6,0,0,1
"A Nao ",2017,2019,13,13,6,6,6,0,0,2
"Nazmul Hossain ",2004,2012,38,38,6,6,6,0,0,1
"SN Netravalkar ",2019,2020,13,13,6,6,6,0,0,3
"JO Ngoche ",2010,2013,17,17,6,6,6,0,0,1
"ML Nkala ",1998,2006,50,50,6,6,6,0,0,1
"AH Omarshah ",1983,1996,28,28,6,6,6,0,0,2
"SD Outerbridge ",2006,2009,23,23,6,6,6,0,0,1
"LS Pascoe ",1977,1982,29,29,6,6,6,0,0,1
"TRO Payne ",1984,1987,7,7,6,6,4,2,0,2
"VD Philander ",2007,2015,30,28,6,6,6,0,0,2
"N Pokana ",2017,2019,14,14,6,6,6,0,0,3
"D Pretorius ",2016,2019,22,22,6,6,6,0,0,2
"AJ Pycroft ",1983,1992,20,20,6,6,6,0,0,2
"CG Rackemann ",1983,1991,52,52,6,6,6,0,0,1
"Rameez Shahzad ",2016,2018,15,15,6,6,6,0,0,1
"BA Reid ",1986,1992,61,61,6,6,6,0,0,2
"AME Roberts ",1975,1983,56,56,6,6,6,0,0,1
"RT Robinson ",1984,1988,26,26,6,6,6,0,0,2
"FA Rose ",1997,2000,27,27,6,6,6,0,0,1
"Sandeep Goud ",2019,2020,11,11,6,6,6,0,0,2
"Shabir Noori ",2010,2016,10,10,6,6,6,0,0,2
"Sharjeel Khan ",2013,2017,25,25,6,6,6,0,0,1
"AK Sharma ",1988,1993,31,31,6,6,6,0,0,2
"MM Sharma ",2013,2015,26,25,6,6,6,0,0,1
"RJ Sidebottom ",2001,2010,25,25,6,6,6,0,0,1
"EO Simons ",1994,1995,23,23,6,6,6,0,0,1
"TAM Siriwardana ",2015,2019,27,26,6,6,6,0,0,2
"ZE Surkari ",2008,2011,23,22,6,6,6,0,0,1
"RML Taylor ",2013,2016,15,15,6,6,6,0,0,2
"Tushar Imran ",2001,2007,41,41,6,6,6,0,0,1
"Umar Amin ",2010,2018,16,16,6,6,6,0,0,2
"DL Underwood ",1973,1982,26,26,6,6,6,0,0,2
"AV Vadher ",1997,1999,18,18,6,6,6,0,0,2
"LP van Troost ",2002,2007,23,23,6,6,6,0,0,1
"Y Venugopal Rao ",2005,2006,16,16,6,6,6,0,0,2
"R Vinay Kumar ",2010,2013,31,31,6,6,6,0,0,2
"MHN Walker ",1974,1981,17,17,6,6,6,0,0,1
"MRJ Watt ",2016,2019,27,27,6,6,6,0,0,1
"AGD Wickremasinghe ",1992,1993,4,4,6,2,0,2,4,3
"B Wood ",1972,1982,13,13,6,6,6,0,0,2
"Yasir Shah ",2011,2019,25,25,6,6,6,0,0,2
"Zeeshan Maqsood ",2019,2020,11,11,6,6,6,0,0,2
"Abdul Shakoor ",2015,2018,3,3,5,4,2,2,1,3
"GI Allott ",1997,2000,31,31,5,5,5,0,0,1
"Anshuman Rath ",2014,2018,18,18,5,5,5,0,0,1
"Arafat Sunny ",2014,2015,16,16,5,5,5,0,0,1
"V Aravind ",2019,2020,6,6,5,4,0,4,1,3
"Arshad Ayub ",1987,1990,32,32,5,5,5,0,0,1
"Asif Ali ",2018,2019,18,17,5,5,5,0,0,1
"JT Ball ",2016,2018,18,18,5,5,5,0,0,3
"CA Best ",1986,1992,24,23,5,5,5,0,0,2
"U Bhatti ",2006,2010,36,35,5,5,5,0,0,1
"SL Boock ",1978,1987,14,13,5,5,5,0,0,1
"G Boycott ",1971,1981,36,35,5,5,5,0,0,3
"DH Brain ",1992,1995,23,23,5,5,5,0,0,2
"RD Brown ",1983,1987,7,7,5,5,5,0,0,2
"RJ Campbell ",2002,2002,2,2,5,4,0,4,1,3
"IM Chappell ",1971,1980,16,16,5,5,5,0,0,2
"PKD Chase ",2015,2018,25,24,5,5,5,0,0,2
"NG Cowans ",1983,1985,23,23,5,5,5,0,0,1
"CE Cuffy ",1994,2002,41,41,5,5,5,0,0,1
"WW Daniel ",1978,1984,18,18,5,5,5,0,0,1
"SP Davis ",1986,1988,39,39,5,5,5,0,0,1
"MH Dekker ",1992,1996,23,23,5,5,5,0,0,1
"JW Dernbach ",2011,2013,24,24,5,5,5,0,0,2
"DS de Silva ",1975,1985,41,41,5,5,5,0,0,1
"PWH de Silva ",2017,2020,15,15,5,5,5,0,0,2
"K Doriga ",2017,2019,14,14,5,4,1,3,1,1
"VC Drakes ",1995,2004,34,34,5,5,5,0,0,1
"GD Drummond ",2007,2013,30,29,5,5,5,0,0,1
"H Durham ",2006,2006,9,9,5,5,5,0,0,2
"GN Edwards ",1976,1981,6,6,5,5,3,2,0,2
"RMS Eranga ",2011,2016,19,18,5,5,5,0,0,2
"SM Ervine ",2001,2004,42,42,5,5,5,0,0,1
"Faheem Ashraf ",2017,2019,23,22,5,5,5,0,0,1
"SE Findlay ",2008,2009,9,9,5,5,5,0,0,2
"ARC Fraser ",1989,1999,42,42,5,5,5,0,0,1
"RS Gavaskar ",2004,2004,11,11,5,5,5,0,0,2
"AFG Griffith ",1996,2000,9,9,5,5,5,0,0,2
"Hamid Hassan ",2009,2019,38,37,5,5,5,0,0,1
"BR Hartland ",1992,1994,16,16,5,5,5,0,0,1
"JW Hastings ",2010,2017,29,29,5,5,5,0,0,2
"RC Haynes ",1989,1991,8,8,5,5,5,0,0,2
"EE Hemmings ",1982,1991,33,33,5,5,5,0,0,1
"M Hendrick ",1973,1981,22,22,5,5,5,0,0,1
"RS Higgins ",2006,2006,11,11,5,5,5,0,0,1
"PJC Hoffmann ",2006,2007,18,17,5,5,5,0,0,1
"MJ Hoggard ",2001,2006,26,26,5,5,5,0,0,1
"PJ Hughes ",2013,2014,25,25,5,5,3,2,0,2
"RO Hurley ",2003,2004,9,9,5,5,5,0,0,2
"Imran Haider ",2017,2019,20,20,5,5,5,0,0,1
"Jatinder Singh ",2019,2020,11,11,5,5,5,0,0,1
"WS Jayantha ",2004,2004,17,17,5,5,5,0,0,1
"HAPW Jayawardene ",2003,2007,6,6,5,4,0,4,1,2
"TE Jesty ",1983,1983,10,10,5,5,5,0,0,2
"VB John ",1982,1987,45,45,5,5,5,0,0,1
"MO Jones ",2006,2007,12,12,5,5,5,0,0,3
"RJ Kirtley ",2001,2004,11,11,5,5,5,0,0,1
"Krishna Chandran ",2014,2016,12,12,5,5,5,0,0,2
"BP Kruger ",2010,2011,5,5,5,5,5,0,0,3
"BM Laird ",1979,1982,23,23,5,5,5,0,0,1
"D Langford-Smith ",2006,2008,22,21,5,5,5,0,0,2
"KS Lokuarachchi ",2003,2007,21,21,5,5,5,0,0,1
"GI Maiden ",2010,2011,7,7,5,5,0,5,0,3
"JS Malhotra ",2019,2019,5,5,5,4,0,4,1,2
"GA Manou ",2009,2009,4,4,5,5,0,5,0,3
"A Mishra ",2003,2016,36,35,5,5,5,0,0,1
"Mohammad Asif ",2005,2010,38,36,5,5,5,0,0,2
"Mohammad Hussain ",1997,1998,14,13,5,5,5,0,0,2
"Mohammad Nawaz ",2016,2019,15,15,5,5,5,0,0,2
"Mohammad Tauqir ",2004,2015,11,11,5,5,5,0,0,2
"MD Moxon ",1985,1988,8,8,5,5,5,0,0,2
"AN Petersen ",2006,2013,21,21,5,5,5,0,0,1
"N Pothas ",2000,2000,3,3,5,4,0,4,1,3
"Qaiser Ali ",2006,2008,17,17,5,5,5,0,0,2
"JF Reid ",1980,1986,25,23,5,5,5,0,0,1
"DM Richards ",2009,2010,8,8,5,5,5,0,0,2
"Sadiq Mohammad ",1973,1980,19,19,5,5,5,0,0,2
"MAR Samarasekera ",1983,1994,39,39,5,5,5,0,0,2
"BS Sandhu ",1982,1984,22,21,5,5,5,0,0,1
"Shahadat Hossain ",2006,2013,51,51,5,5,5,0,0,1
"Shahriar Hossain ",1997,2004,20,20,5,5,5,0,0,1
"T Shamsi ",2016,2020,22,21,5,5,5,0,0,2
"Shapoor Zadran ",2009,2019,44,44,5,5,5,0,0,1
"Sharafuddin Ashraf ",2014,2019,17,17,5,5,5,0,0,3
"JJ Smit ",2019,2020,8,8,5,5,5,0,0,2
"JN Snape ",2001,2002,10,10,5,5,5,0,0,2
"CA Soper ",2016,2019,20,20,5,5,5,0,0,2
"ELR Stewart ",1993,2002,6,6,5,5,0,5,0,2
"MR Swart ",2011,2014,12,12,5,5,5,0,0,2
"J Theron ",2010,2020,13,13,5,5,5,0,0,2
"I Udana ",2012,2020,18,18,5,5,5,0,0,2
"Wajahatullah Wasti ",1999,2000,15,15,5,5,5,0,0,1
"BGK Walker ",2000,2002,11,11,5,5,5,0,0,1
"B Warnapura ",1975,1982,12,12,5,5,5,0,0,2
"SR Waters ",2008,2011,20,20,5,5,5,0,0,2
"CG Williams ",2019,2020,8,8,5,5,5,0,0,2
"GH Worker ",2015,2018,10,10,5,5,5,0,0,3
"GN Yallop ",1978,1984,30,27,5,5,5,0,0,2
"Ziaur Rahman ",2013,2014,13,13,5,5,5,0,0,1
"Adnan Mufti ",2017,2018,18,18,4,4,4,0,0,1
"Ahsan Malik ",2011,2014,12,12,4,4,4,0,0,2
"DS Airee ",2018,2020,10,10,4,4,4,0,0,1
"Amir Hayat ",2018,2019,9,9,4,4,4,0,0,1
"Anwar Ali ",2013,2016,22,22,4,4,4,0,0,2
"Aqib Ilyas ",2019,2020,11,11,4,4,4,0,0,2
"JC Archer ",2019,2019,14,14,4,4,4,0,0,1
"J Arun Lal ",1982,1989,13,13,4,4,4,0,0,1
"Atiq-uz-Zaman ",2000,2000,3,3,4,3,0,3,1,3
"AM Bacher ",1997,2005,13,13,4,4,4,0,0,2
"SB Bangar ",2002,2004,15,15,4,4,4,0,0,2
"GD Barlow ",1976,1977,6,6,4,4,4,0,0,2
"GJ Batty ",2002,2009,10,10,4,4,4,0,0,2
"T Bavuma ",2016,2020,6,5,4,4,4,0,0,2
"AC Bedade ",1994,1994,13,12,4,4,4,0,0,1
"BS Bedi ",1974,1979,10,10,4,4,4,0,0,3
"KCG Benjamin ",1992,1996,26,26,4,4,4,0,0,2
"TL Best ",2004,2014,26,26,4,4,4,0,0,1
"BR Blair ",1982,1986,14,13,4,4,4,0,0,2
"DR Brown ",1997,2007,25,25,4,4,4,0,0,1
"HR Bryan ",1999,1999,15,15,4,4,4,0,0,1
"IP Butchart ",1983,1995,20,20,4,4,4,0,0,1
"GD Campbell ",1989,1990,12,12,4,4,4,0,0,1
"KED Carroll ",2007,2007,6,6,4,4,4,0,0,2
"PVD Chameera ",2015,2019,23,23,4,4,4,0,0,1
"BB Chari ",2015,2019,11,10,4,3,2,1,1,2
"DN Chudasama ",1996,1999,20,20,4,4,4,0,0,1
"ST Clarke ",1978,1982,10,10,4,4,4,0,0,1
"GJ Cosier ",1975,1979,9,8,4,4,4,0,0,2
"TK Curran ",2017,2020,20,20,4,4,4,0,0,1
"PC de Silva ",2014,2017,7,7,4,4,4,0,0,2
"GR Dilley ",1979,1988,36,36,4,4,4,0,0,2
"FH Edwards ",2003,2009,50,49,4,4,4,0,0,1
"SA Edwards ",2018,2019,4,4,4,4,0,4,0,3
"D Elgar ",2012,2018,8,8,4,4,4,0,0,2
"FM Engineer ",1974,1975,5,5,4,3,0,3,1,1
"KWR Fletcher ",1971,1982,24,23,4,4,4,0,0,1
"DR Flynn ",2008,2012,20,20,4,4,4,0,0,1
"PJ Forrest ",2012,2012,15,15,4,4,4,0,0,1
"RC Fredericks ",1973,1977,12,12,4,4,4,0,0,1
"HJW Gardiner ",2013,2015,11,11,4,4,4,0,0,2
"HM Goonatilleke ",1982,1982,6,6,4,0,0,0,4,2
"TR Gripper ",2001,2003,8,8,4,4,4,0,0,2
"Hammad Azam ",2011,2015,11,11,4,4,4,0,0,2
"Haseeb Amjad ",2014,2016,7,7,4,4,4,0,0,1
"BF Hastings ",1973,1975,11,11,4,4,4,0,0,2
"M Hayward ",1998,2002,21,21,4,4,4,0,0,1
"MC Henriques ",2009,2017,11,11,4,4,4,0,0,2
"PA Hitchcock ",2002,2008,14,13,4,4,4,0,0,1
"RD Jackman ",1974,1983,15,15,4,4,4,0,0,1
"SC Joseph ",2000,2005,13,13,4,4,4,0,0,1
"BD Julien ",1973,1977,12,12,4,4,4,0,0,1
"S Jyoti ",2006,2010,14,13,4,4,4,0,0,1
"Kaleemullah ",2019,2020,9,9,4,4,4,0,0,2
"RB Kanhai ",1973,1975,7,7,4,4,4,0,0,1
"MF Kent ",1981,1981,5,5,4,4,4,0,0,2
"RD King ",1998,2005,50,50,4,4,4,0,0,1
"RK Kleinveldt ",2013,2013,10,10,4,4,4,0,0,2
"A Kuruvilla ",1997,1997,25,25,4,4,4,0,0,1
"RP Lefebvre ",1996,2003,11,11,4,4,4,0,0,1
"RT Lyons ",2006,2010,25,25,4,4,4,0,0,1
"WK McCallan ",2006,2009,39,37,4,4,4,0,0,1
"MJ McClenaghan ",2013,2016,48,46,4,4,4,0,0,1
"A McGrath ",2003,2004,14,13,4,4,4,0,0,2
"MW Machan ",2013,2016,23,22,4,4,4,0,0,1
"AO Malhotra ",1982,1986,20,20,4,4,4,0,0,1
"AA Mallett ",1971,1975,9,9,4,4,4,0,0,1
"WP Masakadza ",2015,2018,17,17,4,4,4,0,0,2
"AD Mascarenhas ",2007,2009,20,20,4,4,4,0,0,2
"MJ Mason ",2003,2010,26,25,4,4,4,0,0,1
"MP Maynard ",1994,2000,14,13,4,4,4,0,0,1
"G Miller ",1977,1984,25,25,4,4,4,0,0,2
"Mohsin Kamal ",1984,1989,19,19,4,4,4,0,0,1
"Mominul Haque ",2012,2018,28,28,4,4,4,0,0,1
"PWA Mulder ",2017,2019,10,10,4,4,4,0,0,2
"Nasir Jamal ",2014,2018,16,15,4,4,4,0,0,2
"EO Odumbe ",1996,1996,8,8,4,4,4,0,0,1
"GAHM Parkar ",1982,1984,10,8,4,4,4,0,0,2
"MD Patel ",2019,2020,13,13,4,4,3,1,0,1
"SS Pathirana ",2015,2017,18,18,4,4,4,0,0,2
"ASA Perera ",1998,2001,20,20,4,4,4,0,0,2
"NO Perry ",1999,2000,21,21,4,4,4,0,0,3
"MJ Petrie ",2009,2009,4,4,4,3,0,3,1,2
"AM Phangiso ",2013,2016,21,21,4,4,4,0,0,1
"IL Philip ",1999,1999,3,3,4,4,4,0,0,3
"Qasim Umar ",1983,1987,31,30,4,4,4,0,0,1
"V Rathour ",1996,1997,7,7,4,4,4,0,0,2
"PWE Rawson ",1983,1987,10,10,4,4,4,0,0,2
"Raza-ur-Rehman ",2013,2014,6,6,4,4,4,0,0,4
"V Razdan ",1989,1990,3,3,4,4,4,0,0,2
"JA Richardson ",2018,2020,13,13,4,4,4,0,0,1
"MJG Rippon ",2013,2018,6,6,4,4,4,0,0,1
"RD Robinson ",1977,1977,2,2,4,3,0,3,1,4
"RL Sanghvi ",1998,1998,10,10,4,4,4,0,0,2
"Shahid Nazir ",1996,2000,17,17,4,4,4,0,0,1
"A Shahzad ",2010,2011,11,11,4,4,4,0,0,2
"Sikander Bakht ",1977,1989,27,27,4,4,4,0,0,1
"RB Simpson ",1978,1978,2,2,4,4,4,0,0,2
"GM Strydom ",2006,2006,12,12,4,4,4,0,0,2
"Tareq Aziz ",2002,2004,10,10,4,4,4,0,0,1
"R Telemachus ",1998,2006,37,37,4,4,4,0,0,1
"S Thuraisingam ",2003,2008,10,10,4,4,4,0,0,2
"T Thushara ",2008,2010,38,38,4,4,4,0,0,1
"DT Tiripano ",2014,2020,34,33,4,4,4,0,0,1
"MK Tiwary ",2008,2015,12,11,4,4,4,0,0,3
"G Toka ",2019,2019,7,7,4,4,4,0,0,2
"CT Tremlett ",2005,2011,15,15,4,4,4,0,0,1
"RJ Trott ",2007,2009,11,11,4,4,4,0,0,1
"PCR Tufnell ",1990,1997,20,20,4,4,4,0,0,2
"Usman Limbada ",2010,2014,11,11,4,4,4,0,0,2
"RH Vance ",1988,1989,8,8,4,4,4,0,0,2
"RE van der Merwe ",2009,2019,15,15,4,4,4,0,0,1
"M van Jaarsveld ",2002,2004,11,11,4,4,4,0,0,1
"M van Schoor ",2003,2003,5,5,4,4,0,4,0,2
"JTC Vaughan ",1992,1996,18,18,4,4,4,0,0,1
"S Venkataraghavan ",1974,1983,15,15,4,4,4,0,0,1
"R Vijay Bharadwaj ",1999,2002,10,10,4,4,4,0,0,1
"JM Vince ",2015,2019,13,13,4,4,4,0,0,2
"BV Vitori ",2011,2018,24,24,4,4,4,0,0,1
"RM West ",2008,2009,10,9,4,4,4,0,0,1
"P Willey ",1977,1986,26,26,4,4,4,0,0,1
"BA Williams ",2002,2004,25,24,4,4,4,0,0,2
"JW Wilson ",1993,2005,6,6,4,4,4,0,0,2
"Aarif Sheikh ",2018,2020,10,10,3,3,3,0,0,2
"Abid Ali ",2019,2019,4,4,3,3,3,0,0,2
"MR Adair ",2019,2020,12,12,3,3,3,0,0,1
"CJ Adams ",1998,2000,5,5,3,3,3,0,0,1
"Adeel Raja ",2002,2011,21,21,3,3,3,0,0,1
"Adnan Akmal ",2011,2012,5,5,3,3,0,3,0,1
"RG Aga ",2004,2014,12,12,3,3,3,0,0,1
"Aizaz Khan ",2014,2018,19,19,3,3,3,0,0,1
"MW Alleyne ",1999,2000,10,10,3,3,3,0,0,1
"TR Ambrose ",2008,2008,5,5,3,3,0,3,0,1
"J Anderson ",2014,2016,8,8,3,3,3,0,0,2
"KJ Arnott ",1987,1993,13,13,3,3,3,0,0,1
"Azeem Hafeez ",1983,1985,15,15,3,3,3,0,0,2
"SV Bahutule ",1997,2003,8,8,3,3,3,0,0,2
"WD Balaji Rao ",2008,2011,10,10,3,3,3,0,0,1
"ST Banerjee ",1991,1992,6,6,3,3,3,0,0,1
