"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"GH Dockrell ",2010,2019,87,85,36,36,36,0,0,2
"G Gambhir ",2003,2013,147,144,36,36,36,0,0,3
"GB Hogg ",1996,2008,123,121,36,36,36,0,0,2
"Imran Khan ",1974,1992,175,172,36,36,36,0,0,3
"SMH Kirmani ",1976,1986,49,48,36,27,0,27,9,5
"GJ Whittall ",1993,2003,147,146,36,36,36,0,0,4
"Abdul Razzaq ",1996,2011,265,262,35,35,35,0,0,2
"RS Bopara ",2007,2015,120,118,35,35,35,0,0,2
"MJ Greatbatch ",1988,1996,84,84,35,35,34,1,0,2
"MG Johnson ",2005,2015,153,152,35,35,35,0,0,2
"L Klusener ",1996,2004,171,169,35,35,35,0,0,2
"Mohammad Ashraful ",2001,2013,177,177,35,35,35,0,0,2
"Waqar Younis ",1989,2003,262,259,35,35,35,0,0,2
"DM Bravo ",2009,2020,113,110,34,34,34,0,0,3
"HDPK Dharmasena ",1994,2004,141,140,34,34,34,0,0,2
"Nasir Hossain ",2011,2018,65,65,34,34,34,0,0,2
"PL Taylor ",1987,1992,83,83,34,34,34,0,0,2
"N Boje ",1995,2005,115,113,33,33,33,0,0,2
"RW Chakabva ",2008,2020,41,41,33,29,12,17,4,5
"CJ Chibhabha ",2005,2020,104,103,33,33,33,0,0,2
"NH Fairbrother ",1987,1999,75,75,33,33,33,0,0,3
"KM Jadhav ",2014,2020,73,72,33,33,33,0,0,3
"RS Kalpage ",1992,1999,86,86,33,33,33,0,0,3
"JM Kemp ",2001,2007,85,84,33,33,33,0,0,3
"Ramiz Raja ",1985,1997,198,193,33,33,33,0,0,2
"RR Singh ",1989,2001,136,135,33,33,33,0,0,2
"CJO Smith ",2006,2009,27,26,33,22,0,22,11,5
"Soumya Sarkar ",2014,2019,55,54,33,33,33,0,0,4
"Abdur Razzak ",2004,2014,153,153,32,32,32,0,0,2
"MM Ali ",2014,2020,102,99,32,32,32,0,0,3
"Ghulam Shabber ",2017,2019,23,23,32,30,0,30,2,4
"J Srinath ",1991,2003,229,227,32,32,32,0,0,2
"RW Taylor ",1973,1984,27,27,32,26,0,26,6,4
"TA Boult ",2012,2020,90,90,31,31,31,0,0,2
"DL Houghton ",1983,1997,63,63,31,29,19,10,2,4
"CK Kapugedera ",2006,2017,102,100,31,31,31,0,0,2
"AJ Lamb ",1982,1992,122,122,31,31,31,0,0,2
"SL Malinga ",2004,2019,226,220,31,31,31,0,0,2
"GR Marsh ",1986,1992,117,117,31,31,31,0,0,2
"M Morkel ",2007,2018,117,114,31,31,31,0,0,3
"JJ Roy ",2015,2020,87,85,31,31,31,0,0,2
"DR Smith ",2004,2015,105,103,31,31,31,0,0,2
"R Ashwin ",2010,2017,111,110,30,30,30,0,0,3
"RG de Alwis ",1983,1988,31,31,30,27,0,27,3,5
"J Garner ",1977,1987,98,98,30,30,30,0,0,3
"LK Germon ",1994,1997,37,37,30,21,0,21,9,4
"MA Holding ",1976,1987,102,102,30,30,30,0,0,3
"SS Karim ",1997,2000,34,34,30,27,0,27,3,4
"WK Lees ",1979,1983,31,31,30,28,0,28,2,4
"CS MacLeod ",2008,2019,66,65,30,30,30,0,0,4
"Mohammad Rizwan ",2015,2019,32,32,30,29,12,17,1,4
"Mushtaq Ahmed ",1989,2003,144,144,30,30,30,0,0,2
"M Ntini ",1998,2009,173,171,30,30,30,0,0,2
"CS Pandit ",1986,1992,36,36,30,15,0,15,15,4
"AU Rashid ",2009,2020,100,97,30,30,30,0,0,3
"PA Strang ",1994,2001,95,94,30,30,30,0,0,2
