"","Player","Innings","Runs","BallsFaced","Hundreds"
"205","Sarfaraz Ahmed ",90,2302,2622,2
"206","RA Jadeja ",110,2296,2671,0
"207","SL Campbell ",87,2283,3853,2
"208","DL Vettori ",187,2253,2715,0
"209","S Matsikenyeri ",110,2224,3072,0
"210","GM Wood ",77,2219,3725,3
"211","MJ Greatbatch ",83,2206,3099,2
"212","JC Adams ",105,2204,3614,0
"213","Shahriar Nafees ",75,2201,3167,4
"214","D Ramdin ",110,2200,2738,2
"215","CS MacLeod ",64,2175,2623,8
"216","Habibul Bashar ",105,2168,3586,0
"217","BKG Mendis ",74,2167,2559,2
"218","IT Botham ",106,2113,2671,0
"219","MW Gatting ",88,2095,2968,1
"220","NH Fairbrother ",71,2092,2903,1
"221","RL Powell ",100,2085,2157,1
"222","CL White ",77,2072,2586,2
"223","GC Wilson ",99,2072,2880,1
"224","CO Obuya ",89,2044,2981,0
"225","Yasir Hameed ",56,2028,3029,3
"226","WPUJC Vaas ",220,2025,2796,0
"227","KO Otieno ",87,2016,3561,2
"228","SV Manjrekar ",70,1994,3101,1
"229","MP Vaughan ",83,1982,2898,0
"230","CH Lloyd ",69,1977,2434,1
"231","GD Elliott ",69,1976,2416,2
"232","KJ Hughes ",88,1968,2919,0
"233","A Bagai ",60,1964,2995,2
"234","Fakhar Zaman ",46,1958,2056,4
"235","LMP Simmons ",65,1958,2680,2
"236","Aftab Ahmed ",85,1954,2353,0
"237","PJL Dujon ",120,1945,2881,0
"238","M Amarnath ",75,1924,3334,2
"239","A Balbirnie ",64,1910,2530,5
"240","KLT Arthurton ",93,1904,2822,0
"241","Imran Nazir ",79,1895,2339,2
"242","RD Berrington ",73,1882,2535,1
"243","Mohsin Khan ",75,1877,3373,2
"244","JV Coney ",80,1874,2885,0
"245","DJG Sammy ",105,1871,1870,0
"246","RD Jacobs ",112,1865,2662,0
"247","M Prabhakar ",98,1858,3083,2
"248","Azhar Ali ",53,1845,2478,3
"249","OA Shah ",66,1834,2331,1
"250","JO Holder ",92,1821,1931,0
"251","MW Goodwin ",70,1818,2654,2
"252","Khaled Mashud ",110,1818,3315,0
"253","BA Edgar ",64,1814,3685,1
"254","Samiullah Shinwari ",74,1811,2765,0
"255","DJ Hussey ",61,1796,1980,1
"256","MA Atherton ",54,1791,3054,2
"257","Mashrafe Mortaza ",158,1787,2041,0
"258","MM Ali ",83,1783,1713,3
"259","MS Wade ",80,1777,2164,1
"260","IA Healy ",120,1764,2104,0
"261","KD Karthik ",79,1752,2392,0
"262","Sir RJ Hadlee ",98,1751,2319,0
"263","Soumya Sarkar ",54,1728,1753,2
"264","Imam-ul-Haq ",37,1723,2141,7
"265","Imran Farhat ",58,1719,2489,1
"266","CB Wishart ",82,1719,2436,2
"267","Rashid Latif ",117,1709,2237,0
"268","DA Gunawardene ",61,1708,2389,1
"269","AT Rayudu ",50,1694,2143,3
"270","ND McKenzie ",55,1688,2432,2
"271","NC Johnson ",48,1679,2389,4
"272","BA Young ",73,1668,2733,0
"273","UDU Chandana ",111,1627,2229,0
"274","CK Kapugedera ",84,1624,2254,0
"275","Haris Sohail ",40,1614,1895,2
"276","E Lewis ",48,1610,1919,3
"277","GM Turner ",40,1598,2348,3
"278","LPC Silva ",62,1587,2254,1
"279","Najibullah Zadran ",62,1586,1765,1
"280","SC Williams ",55,1586,2402,1
"281","Saleem Elahi ",47,1579,2214,4
"282","RL Dias ",55,1573,2315,2
"283","N Dickwella ",49,1571,1679,2
"284","DR Smith ",89,1560,1683,0
"285","UT Khawaja ",39,1554,1848,2
"286","IK Pathan ",87,1544,1941,0
"287","RN ten Doeschate ",32,1541,1757,5
"288","MR Marsh ",53,1539,1673,1
"289","DL Houghton ",60,1530,2155,1
"290","LRD Mendis ",74,1527,2034,0
"291","Azhar Mahmood ",110,1521,1988,0
"292","RS Morton ",51,1519,2289,2
"293","JJ Crowe ",71,1518,2456,0
"294","JM Kemp ",66,1512,1819,1
"295","RD Shah ",55,1506,2298,1
"296","MA Ouma ",77,1501,2525,0
"297","HJH Marshall ",62,1454,1990,1
"298","DD Ebrahim ",76,1443,2540,1
"299","SO Hetmyer ",42,1430,1338,5
"300","Nasir Jamshed ",48,1418,1881,3
"301","HA Gomes ",64,1415,2578,1
"302","N Boje ",71,1414,1594,2
"303","MO Odumbe ",59,1409,2014,0
"304","P Utseya ",132,1406,2410,0
