"","Player","Innings","Runs","BallsFaced","Hundreds"
"1355","GH Bodi ",2,83,132,0
"1356","AG Davies ",5,83,154,0
"1357","LHD Dilhara ",9,83,107,0
"1358","R Strydom ",6,83,155,0
"1359","RGD Willis ",22,83,157,0
"1360","RR David ",3,82,170,0
"1361","C Hemraj ",6,82,98,0
"1362","LJ Koen ",5,82,169,0
"1363","DB Kotze ",6,82,135,0
"1364","Nasir Aziz ",3,82,125,0
"1365","RD Robinson ",2,82,143,0
"1366","MC Henriques ",10,81,119,0
"1367","Mahbubul Alam ",2,81,71,0
"1368","AM Phangiso ",13,81,162,0
"1369","GA Rogers ",8,81,169,0
"1370","Shahid Wasif ",7,81,163,0
"1371","IS Sodhi ",14,81,104,0
"1372","S Sriram ",7,81,135,0
"1373","Syed Rasel ",27,81,185,0
"1374","JNT Vare ",9,81,110,0
"1375","Jai P Yadav ",7,81,123,0
"1376","Aftab Alam ",17,80,107,0
"1377","G Goudie ",11,80,99,0
"1378","TR Gripper ",8,80,187,0
"1379","Hammad Azam ",7,80,131,0
"1380","PWE Rawson ",8,80,123,0
"1381","SK Sharma ",12,80,135,0
"1382","TD Astle ",5,79,77,0
"1383","S Badrinath ",6,79,172,0
"1384","SN Netravalkar ",11,79,109,0
"1385","Shahadat Hossain ",27,79,151,0
"1386","MHN Walker ",11,79,170,0
"1387","UT Yadav ",24,79,134,0
"1388","AC Dale ",12,78,136,0
"1389","MF Kent ",5,78,133,0
"1390","Kushal Malla ",2,78,75,0
"1391","S Lamichhane ",8,78,105,0
"1392","Mustafizur Rahman ",27,78,136,0
"1393","MW Rushmere ",4,78,174,0
"1394","Sami Aslam ",4,78,117,0
"1395","MH Tissera ",3,78,147,0
"1396","NM Lyon ",14,77,83,0
"1397","SN Thakur ",6,77,53,0
"1398","KJ Abbott ",13,76,126,0
"1399","TL Best ",16,76,125,0
"1400","EH Hutchinson ",5,75,64,0
"1401","CA Lynn ",4,75,89,0
"1402","KW Richardson ",12,75,68,0
"1403","AP Sheahan ",3,75,124,0
"1404","KDK Vithanage ",6,75,90,0
"1405","NG Jones ",9,74,102,0
"1406","MS Kasprowicz ",13,74,89,0
"1407","PWA Mulder ",8,74,89,0
"1408","MM Patel ",27,74,112,0
"1409","Yasir Arafat ",8,74,110,0
"1410","FH Edwards ",22,73,160,0
"1411","CK Langeveldt ",21,73,124,0
"1412","EB McSweeney ",14,73,119,0
"1413","GR Sealy ",3,73,149,0
"1414","CS Serjeant ",3,73,158,0
"1415","R Telemachus ",15,73,94,0
"1416","AL Wadekar ",2,73,90,0
"1417","DS Weerakkody ",3,73,66,0
"1418","G Blakeney ",2,72,69,0
"1419","TG Hogan ",12,72,95,0
"1420","BA Murphy ",17,72,130,0
"1421","TK Patel ",7,72,149,0
"1422","OL Pitcher ",5,72,217,0
"1423","I Sharma ",28,72,203,0
"1424","S Viswanath ",12,72,139,0
"1425","CJ Adams ",4,71,144,0
"1426","DI Allan ",5,71,153,0
"1427","SA Edwards ",3,71,81,0
"1428","MJG Rippon ",4,71,112,0
"1429","JDF Vandersay ",7,71,166,0
"1430","KED Carroll ",6,70,126,0
"1431","SR Gillespie ",11,70,106,0
"1432","Shuvagata Hom ",3,70,86,0
"1433","MJ Smith ",5,70,159,0
"1434","RD Steede ",7,70,142,0
"1435","Ashraf Ali ",9,69,135,0
"1436","SR Clark ",12,69,88,0
"1437","AC Dawson ",7,69,67,0
"1438","Y Goonasekera ",3,69,104,0
"1439","Mujeeb Ur Rahman ",21,69,79,0
"1440","TP Visee ",2,69,56,0
"1441","FS Crockwell ",2,68,104,0
"1442","TGJ Gruijters ",4,68,116,0
"1443","OJ Hairs ",5,68,100,0
"1444","Iftikhar Ahmed ",4,68,73,0
"1445","RK Illingworth ",11,68,119,0
"1446","Junaid Khan ",31,68,127,0
"1447","SO Ngoche ",12,68,119,0
"1448","Nurul Hasan ",2,68,70,0
"1449","M Sheikh ",15,68,123,0
"1450","SJ Cook ",4,67,118,0
"1451","SG Davies ",4,67,173,0
"1452","Junaid Siddiqui ",8,67,144,0
"1453","N Madziva ",12,67,138,0
"1454","HJC Mol ",9,67,183,0
"1455","Nadeem Ahmed ",16,67,151,0
"1456","V Pollard ",2,67,145,0
"1457","Shapoor Zadran ",27,67,160,0
"1458","Waqas Khan ",5,67,137,0
"1459","PR Adams ",9,66,124,0
"1460","Akhtar Sarfraz ",4,66,99,0
"1461","RJ Bright ",8,66,122,0
"1462","Sharafuddin Ashraf ",10,66,100,0
"1463","OO Bascome ",6,65,145,0
"1464","KCG Benjamin ",13,65,80,0
"1465","RD King ",23,65,203,0
"1466","RG Petrie ",8,65,109,0
"1467","Saeed Azad ",4,65,131,0
"1468","VA Holder ",6,64,85,0
"1469","H Osinde ",28,64,130,0
"1470","KF Semple ",6,64,165,0
"1471","LH Ferguson ",16,63,132,0
"1472","RO Hussain ",8,63,143,0
"1473","PD McGlashan ",2,63,51,0
"1474","MQ Sheikh ",7,63,140,0
"1475","Taijul Islam ",5,63,78,0
"1476","Adnan Akmal ",4,62,89,0
"1477","SD Anurasiri ",18,62,143,0
"1478","DE Budge ",3,62,70,0
"1479","PG Coman ",3,62,104,0
"1480","CE Cuffy ",22,62,125,0
"1481","JB Reva ",7,62,83,0
"1482","Shaheedur Rahman ",2,62,108,0
"1483","CAH Stevenson ",7,62,91,0
"1484","Azhar Saeed ",7,61,195,0
"1485","Dolar Mahmud ",4,61,44,0
"1486","BT Foakes ",1,61,76,0
"1487","MN Hart ",8,61,101,0
"1488","JD Love ",3,61,100,0
"1489","EO Odumbe ",7,61,150,0
"1490","DR Parry ",5,61,77,0
"1491","Shakeel Ahmed jnr ",2,61,128,0
"1492","L Sreekumar ",4,61,73,0
"1493","ELR Stewart ",6,61,116,0
"1494","DS Wesonga ",4,61,108,0
"1495","RM West ",4,61,41,0
"1496","GE Bradburn ",10,60,130,0
"1497","JJ Celestine ",8,60,135,0
"1498","ST Clarke ",8,60,58,0
"1499","Humayun Farhat ",3,60,56,0
"1500","JA Jameson ",3,60,158,0
"1501","NC McGarrell ",10,60,98,0
"1502","Naseem Khushi ",4,60,40,0
"1503","Abdul Jabbar ",2,59,82,0
"1504","WD Balaji Rao ",8,59,89,0
"1505","Gazi Ashraf ",7,59,239,0
"1506","MBS Jonkman ",9,59,79,0
"1507","MA Parker ",8,59,104,0
"1508","S Vesawkar ",2,59,123,0
"1509","RO Butcher ",3,58,68,0
"1510","Imran Haider ",14,58,136,0
"1511","TMK Mawoyo ",7,58,160,0
"1512","D Murphy ",7,58,118,0
"1513","Saqlain Haider ",4,58,77,0
"1514","M van Schoor ",5,58,111,0
"1515","BM Wheeler ",4,58,47,0
"1516","B Yardley ",4,58,98,0
"1517","KD Boyce ",4,57,77,0
"1518","Ehsanul Haque ",6,57,129,0
"1519","Frasat Ali ",3,57,176,0
"1520","CB Mpofu ",41,57,210,0
"1521","G Salmond ",5,57,109,0
"1522","AJ Tye ",7,57,48,0
"1523","RS Haire ",2,56,72,0
"1524","JK Lever ",11,56,152,0
"1525","NM Odhiambo ",6,56,121,0
"1526","Sohail Fazal ",2,56,59,0
"1527","LL Tsotsobe ",21,56,109,0
"1528","MA Wood ",17,56,63,0
"1529","MW Douglas ",6,55,123,0
"1530","FY Fazal ",1,55,61,0
"1531","J Figy ",2,55,73,0
"1532","TV Mufambisi ",6,55,90,0
"1533","Najmul Hossain Shanto ",5,55,93,0
"1534","SJ Palframan ",4,55,80,0
"1535","EC Rainsford ",23,55,134,0
"1536","SK Ranasinghe ",3,55,81,0
"1537","Abdul Shakoor ",3,54,102,0
"1538","Arshad Ali ",4,54,102,0
"1539","RJ Campbell ",2,54,70,0
"1540","RD Jackman ",9,54,93,0
"1541","RWT Key ",5,54,135,0
"1542","J Kila ",6,54,63,0
"1543","BJ McKechnie ",8,54,145,0
"1544","Mohammad Iqbal ",5,54,80,0
"1545","JV Paranjpe ",4,54,91,0
"1546","RG Samuels ",5,54,63,0
"1547","RK Sethi ",3,54,185,0
"1548","S Venkataraghavan ",9,54,126,0
"1549","BCJ Cutting ",2,53,67,0
"1550","DDP D'Silva ",5,53,119,0
"1551","Ghulam Ali ",3,53,121,0
"1552","Mafizur Rahman ",4,53,104,0
"1553","Manjural Islam ",22,53,134,0
"1554","WP Masakadza ",10,53,125,0
"1555","Mohammad Sharif ",9,53,102,0
"1556","RAP Nissanka ",13,53,140,0
"1557","NA Saini ",2,53,55,0
"1558","DL Underwood ",13,53,133,0
"1559","CAK Walton ",8,53,86,0
"1560","AJ Woodcock ",1,53,67,0
"1561","JE Brinkley ",5,52,118,0
"1562","TK Canning ",4,52,73,0
"1563","JS Malhotra ",5,52,71,0
"1564","B Mavuta ",5,52,47,0
"1565","AK Perera ",4,52,83,0
"1566","N Pokana ",9,52,106,0
"1567","Zahoor Khan ",13,52,77,0
"1568","CS Cowdrey ",3,51,46,0
"1569","D Dasgupta ",4,51,82,0
"1570","AH Gray ",11,51,77,0
"1571","A Mithun ",3,51,55,0
"1572","CA Pujara ",5,51,130,0
"1573","BS Sandhu ",7,51,97,0
"1574","T Banton ",2,50,55,0
"1575","DE Bollinger ",8,50,54,0
"1576","NE Clarke ",5,50,112,0
"1577","JG Heron ",6,50,163,0
"1578","PA Horne ",4,50,122,0
"1579","J Lewis ",8,50,63,0
"1580","D Ravu ",7,50,79,0
"1581","IM Stanger ",5,50,150,0
"1582","CT Tremlett ",11,50,89,0
"1583","Zeeshan Siddiqi ",2,50,111,0
"1584","ST Banerjee ",5,49,42,0
"1585","YS Chahal ",9,49,84,0
"1586","DB Close ",3,49,50,0
"1587","WW Daniel ",5,49,56,0
"1588","DJ Gandhi ",3,49,97,0
"1589","CK Hooper ",5,49,60,0
"1590","Maninder Singh ",18,49,90,0
"1591","E Otieno ",17,49,136,0
"1592","D Ranatunga ",4,49,156,0
"1593","BA Reid ",21,49,117,0
"1594","GK Robertson ",6,49,48,0
"1595","MMC Schewe ",4,49,68,0
"1596","SS Tiwary ",2,49,56,0
"1597","KEA Upashantha ",8,49,86,0
"1598","Arafat Sunny ",11,48,92,0
"1599","GG Arnold ",6,48,75,0
"1600","JH Hampshire ",3,48,86,0
"1601","RJ Harris ",13,48,48,0
"1602","Mohammad Irfan ",33,48,149,0
"1603","MW Pringle ",8,48,56,0
"1604","PC Strydom ",8,48,94,0
"1605","MG Vandort ",1,48,117,0
"1606","JJ Whitaker ",2,48,65,0
"1607","Zafar Iqbal ",6,48,62,0
"1608","Zulqarnain Haider ",4,48,68,0
"1609","A Codrington ",8,47,92,0
"1610","FA Dennis ",3,47,171,0
"1611","Fayyaz Ahmed ",3,47,100,0
"1612","ER Fernando ",3,47,66,0
"1613","L Ngidi ",9,47,66,0
"1614","Sarandeep Singh ",4,47,73,0
"1615","J Theron ",10,47,95,0
"1616","BGK Walker ",7,47,79,0
"1617","ME Sanuth ",2,46,39,0
"1618","Jawahir Shah ",3,46,114,0
"1619","KK Nair ",2,46,88,0
"1620","J Nyumbu ",14,46,89,0
"1621","PP Ojha ",10,46,112,0
"1622","IR Redpath ",5,46,67,0
"1623","Skhawat Ali ",4,46,109,0
"1624","TB Sole ",7,46,43,0
"1625","Waheed Ahmed ",4,46,101,0
"1626","Azeem Hafeez ",10,45,104,0
"1627","M Karg ",2,45,65,0
"1628","DA Murray ",7,45,140,0
"1629","GR Robertson ",7,45,55,0
"1630","S Thuraisingam ",9,45,108,0
"1631","PJ Wiseman ",7,45,83,0
"1632","VR Brown ",3,44,85,0
"1633","NA de Groot ",6,44,127,0
"1634","Golam Faruq ",4,44,104,0
"1635","AV Mankad ",1,44,61,0
"1636","RD McCann ",5,44,77,0
"1637","BP Patterson ",20,44,101,0
"1638","RH Poonawala ",2,44,56,0
"1639","S Sreesanth ",21,44,121,0
"1640","JH Stander ",5,44,75,0
"1641","HR Bryan ",8,43,71,0
"1642","Faisal Hossain ",5,43,91,0
"1643","KHRK Fernando ",5,43,72,0
"1644","AR Kapoor ",6,43,63,0
"1645","Karan KC ",7,43,68,0
"1646","A Mishra ",11,43,82,0
"1647","Salman Faris ",3,43,79,0
"1648","WN Slack ",2,43,85,0
"1649","GB Stevenson ",4,43,56,0
"1650","SJ Swanepoel ",5,43,94,0
"1651","Anwar Hossain ",1,42,107,0
"1652","Azmat Rana ",2,42,73,0
"1653","MJ Fourie ",5,42,51,0
"1654","GJ Gilmour ",2,42,39,0
"1655","JN Maguire ",11,42,71,0
"1656","JL Pattinson ",8,42,80,0
"1657","MH Richardson ",4,42,97,0
"1658","Shaheen Shah Afridi ",8,42,64,0
"1659","JS Foster ",6,41,71,0
"1660","SP Heaney ",4,41,92,0
"1661","PA Hitchcock ",7,41,61,0
"1662","Mehmood Quaraishy ",3,41,154,0
"1663","WP Saha ",5,41,56,0
"1664","Shafiq Ahmed ",3,41,91,0
"1665","Taskin Ahmed ",16,41,99,0
"1666","SR Welsh ",3,41,78,0
"1667","Bilal Asif ",3,40,49,0
"1668","PC Connell ",5,40,73,0
"1669","DR Hadlee ",7,40,85,0
"1670","Khaliq Dad ",4,40,69,0
"1671","PS Masvaure ",2,40,60,0
"1672","ML Patel ",3,40,95,0
"1673","SJ Rixon ",6,40,98,0
"1674","DJ ter Braak ",2,40,94,0
"1675","MR Whitney ",13,40,90,0
"1676","GA Briant ",5,39,69,0
"1677","SS Das ",4,39,77,0
"1678","KSC de Silva ",19,39,92,0
"1679","DR Gilbert ",8,39,102,0
"1680","JR Hazlewood ",15,39,63,0
"1681","Iqbal Qasim ",7,39,90,0
"1682","N Kruger ",2,39,75,0
"1683","GD Lloyd ",5,39,80,0
"1684","TBA May ",12,39,52,0
"1685","LS Pascoe ",11,39,102,0
"1686","K Pierre ",2,39,47,0
"1687","Ramveer Rai ",1,39,124,0
"1688","RH Scholte ",5,39,135,0
"1689","A Shahzad ",8,39,60,0
"1690","Zulfiqar Ali ",3,39,76,0
"1691","JT Ball ",6,38,49,0
"1692","CJD Chappell ",3,38,143,0
"1693","PP Chawla ",12,38,58,0
"1694","CKB Kulasekara ",3,38,72,0
"1695","PJ Martin ",13,38,53,0
"1696","Mohammad Aslam ",4,38,73,0
"1697","N M'shangwe ",6,38,45,0
"1698","SS Naik ",2,38,68,0
"1699","Najeeb Amar ",4,38,64,0
"1700","GH O'Brien ",7,38,54,0
"1701","S Walusimbi ",3,38,126,0
"1702","PN Webb ",5,38,101,0
"1703","MP Jarvis ",5,37,67,0
"1704","TS Roland-Jones ",1,37,37,0
"1705","Saiful Islam ",4,37,59,0
"1706","Shahid Anwar ",1,37,44,0
"1707","DJ White ",3,37,97,0
"1708","MA Agarwal ",3,36,39,0
"1709","Ankur Vasishta ",4,36,69,0
"1710","M Bhanuka ",1,36,39,0
"1711","PW Gunaratne ",8,36,63,0
"1712","MF Malone ",7,36,63,0
"1713","G Mylvaganam ",3,36,92,0
"1714","AR Pitcher ",4,36,89,0
"1715","KR Pushpakumara ",9,36,52,0
"1716","Saleem Jaffar ",13,36,73,0
"1717","RB Simpson ",2,36,53,0
"1718","LO Tikolo ",2,36,75,0
"1719","JO Troughton ",5,36,76,0
"1720","PKD Chase ",16,35,56,0
"1721","H Durham ",7,35,105,0
"1722","G Dymock ",7,35,82,0
"1723","Joginder Sharma ",3,35,30,0
"1724","C McAuslan ",2,35,72,0
"1725","Nazmul Hossain ",21,35,128,0
"1726","JO Ngoche ",11,35,85,0
"1727","KT Sandher ",10,35,107,0
"1728","AR Tait ",5,35,32,0
"1729","SD Udal ",7,35,46,0
"1730","MWA van Nierop ",2,35,49,0
"1731","SM Warnapura ",3,35,76,0
"1732","Zulfiqar Babar ",5,35,40,0
"1733","RP Alexander ",2,34,75,0
"1734","SA Ankola ",13,34,42,0
"1735","Ata-ur-Rehman ",13,34,76,0
"1736","Atiq-uz-Zaman ",3,34,36,0
"1737","ID Austin ",6,34,49,0
"1738","RO Collinge ",9,34,62,0
"1739","RMS Eranga ",11,34,64,0
"1740","BN French ",8,34,71,0
"1741","AS Luseno ",9,34,50,0
"1742","M Mbangwa ",13,34,56,0
"1743","Mohammad Asif ",16,34,100,0
"1744","CG Rackemann ",18,34,77,0
"1745","PADLR Sandakan ",14,34,98,0
"1746","TT Smart ",2,34,94,0
"1747","GJ Delany ",2,33,51,0
"1748","Fayyaz Butt ",3,33,42,0
"1749","T Gibbons ",2,33,98,0
"1750","LWS Kaluperuma ",3,33,60,0
"1751","RR Kulkarni ",5,33,39,0
"1752","RJ McCurdy ",6,33,71,0
"1753","GE Peckover ",3,33,54,0
"1754","PARP Perera ",2,33,58,0
"1755","TL Seifert ",2,33,27,0
"1756","AS Wassan ",6,33,56,0
"1757","TM Alderman ",18,32,97,0
"1758","RE Bryson ",4,32,25,0
"1759","BFW de Leede ",3,32,75,0
"1760","BP Kruger ",3,32,50,0
"1761","SLV Raju ",16,32,67,0
"1762","JD Siddons ",1,32,37,0
"1763","SP Terry ",5,32,67,0
"1764","Amir Hayat ",6,31,73,0
"1765","BS Bedi ",7,31,70,0
"1766","TA Blundell ",2,31,35,0
"1767","HM Goonatilleke ",4,31,58,0
"1768","PW Jarvis ",8,31,39,0
"1769","C Jonker ",2,31,33,0
"1770","GC Martin ",4,31,65,0
"1771","MN Nawaz ",3,31,71,0
"1772","JD Nel ",10,31,54,0
"1773","MM Sharma ",9,31,66,0
"1774","PM Siddle ",6,31,30,0
"1775","Sikander Bakht ",11,31,97,0
"1776","RW Sims ",2,31,67,0
"1777","RD Woolley ",3,31,38,0
"1778","M Yachad ",1,31,77,0
"1779","BE Young ",3,31,47,0
"1780","GJ Batty ",8,30,73,0
"1781","SL Boock ",7,30,31,0
"1782","M Cheruparambil ",2,30,52,0
"1783","PT Collins ",12,30,50,0
"1784","BL D'Oliveira ",4,30,43,0
"1785","Ehsan Nawaz ",10,30,87,0
"1786","MVT Fernando ",8,30,61,0
"1787","EE Hemmings ",12,30,61,0
"1788","AJ Ireland ",13,30,101,0
"1789","FJ Klaassen ",3,30,52,0
"1790","IT Shillingford ",2,30,38,0
"1791","PA van Meekeren ",3,30,40,0
"1792","JCB Vaughan ",3,30,55,0
"1793","HN Ya France ",5,30,25,0
"1794","JS Ababu ",5,29,63,0
"1795","N Pradeep ",23,29,77,0
"1796","TCB Fernando ",10,29,59,0
"1797","BW Hilfenhaus ",11,29,69,0
"1798","Imran Abbas ",2,29,63,0
"1799","DI Joyce ",3,29,56,0
"1800","ARM Opatha ",3,29,55,0
"1801","KJ Wright ",2,29,52,0
"1802","CA Young ",7,29,43,0
"1803","Adeel Raja ",12,28,139,0
"1804","WW Davis ",5,28,53,0
"1805","JD Hall ",3,28,75,0
"1806","Kamran Hussain ",1,28,21,0
"1807","Mohammad Hasnain ",2,28,18,0
"1808","DS Mohanty ",11,28,57,0
"1809","Taslim Arif ",2,28,58,0
"1810","Ehsan Adil ",4,27,42,0
"1811","TJ Franklin ",3,27,89,0
"1812","TG Gordon ",5,27,59,0
"1813","TJ Heggelman ",5,27,85,0
"1814","HAPW Jayawardene ",5,27,44,0
"1815","TP Kamungozi ",11,27,55,0
"1816","BL Kotze ",4,27,51,0
"1817","DS Kulkarni ",2,27,28,0
"1818","WM Lawry ",1,27,49,0
"1819","KA Maharaj ",3,27,28,0
"1820","Mohsin Kamal ",6,27,40,0
"1821","Mujahid Jamshed ",3,27,54,0
"1822","RJ Robinson ",2,27,40,0
"1823","Rumman Raees ",4,27,24,0
"1824","ED Solkar ",6,27,79,0
"1825","BA Williams ",6,27,46,0
"1826","Zakir Khan ",5,27,63,0
"1827","Aizaz Cheema ",6,26,45,0
"1828","BJ Diamanti ",1,26,22,0
"1829","BG Hadlee ",2,26,93,0
"1830","RC Haynes ",6,26,66,0
"1831","Khurram Nawaz ",2,26,49,0
"1832","A Kuruvilla ",11,26,43,0
"1833","Mosharraf Hossain ",5,26,75,0
"1834","MS Panesar ",8,26,91,0
"1835","Pervez Mir ",3,26,44,0
"1836","CEB Rice ",2,26,37,0
"1837","TG Shaw ",6,26,35,0
"1838","SL Stewart ",4,26,59,0
"1839","Tareq Aziz ",8,26,73,0
"1840","BO van Rooi ",3,26,38,0
"1841","RJ van Vuuren ",5,26,38,0
"1842","Wasim Haider ",2,26,70,0
"1843","Zain Abbas ",1,26,54,0
"1844","Sultan Zarawani ",6,26,62,0
"1845","RJ Blakey ",2,25,50,0
"1846","DK Butler ",4,25,34,0
"1847","JJ Dawood ",1,25,19,0
"1848","MLC Foster ",1,25,62,0
"1849","KA Jamieson ",1,25,24,0
"1850","S Jeganathan ",4,25,39,0
"1851","GMC Mol ",4,25,54,0
"1852","Nasir Ahmed ",4,25,62,0
"1853","A Patel ",1,25,29,0
"1854","AK Sah ",2,25,35,0
"1855","Saleem Altaf ",2,25,53,0
"1856","Sayed Shirzad ",1,25,17,0
"1857","Shahid Nazir ",8,25,43,0
"1858","Sohail Khan ",6,25,51,0
"1859","SW Tait ",7,25,29,0
"1860","SK Atai ",1,24,57,0
"1861","MR Benson ",1,24,58,0
"1862","SM Curran ",3,24,47,0
"1863","AN French ",2,24,84,0
"1864","ST Gabriel ",16,24,63,0
"1865","SF Graf ",6,24,50,0
"1866","JPR Lamsam ",2,24,47,0
"1867","SW Lubbers ",4,24,37,0
"1868","DJ Malan ",1,24,30,0
"1869","MJ Mason ",7,24,45,0
"1870","Naeem Ashraf ",2,24,43,0
"1871","SB O'Connor ",13,24,91,0
"1872","SP Pasqual ",2,24,28,0
"1873","N Pothas ",1,24,41,0
"1874","Rafiqul Alam ",2,24,63,0
"1875","Sheikh Salahuddin ",5,24,136,0
"1876","ML Su'a ",7,24,56,0
"1877","Amir Hamza ",16,23,94,0
"1878","JO Angara ",11,23,64,0
"1879","HAG Anthony ",3,23,22,0
"1880","Asim Butt ",4,23,28,0
"1881","SV Bahutule ",4,23,29,0
"1882","SC Getkate ",2,23,23,0
"1883","AE Greenidge ",1,23,33,0
"1884","Hasti Gul ",1,23,11,0
"1885","E Katchay ",3,23,41,0
"1886","J Louw ",1,23,7,0
"1887","SJ Massiah ",2,23,44,0
"1888","AJ Penn ",3,23,33,0
"1889","V Razdan ",3,23,27,0
"1890","CP Tremain ",3,23,37,0
"1891","Afzaal Haider ",4,22,52,0
"1892","UNK Fernando ",2,22,25,0
"1893","DW Headley ",6,22,49,0
"1894","Kamran Shazad ",3,22,25,0
"1895","Mohammad Salman ",3,22,39,0
"1896","Shafiuddin Ahmed ",10,22,66,0
"1897","BR Taylor ",1,22,42,0
"1898","CM Wells ",2,22,44,0
"1899","Ali Asad ",2,21,47,0
"1900","B Arun ",3,21,32,0
"1901","AB Dinda ",5,21,36,0
"1902","S Keshvani ",2,21,38,0
"1903","MAWR Madurasinghe ",6,21,62,0
"1904","J Patraj ",2,21,48,0
"1905","DA Stirling ",5,21,39,0
"1906","I Wardlaw ",14,21,40,0
"1907","RA Woolmer ",4,21,46,0
"1908","SP Davis ",11,20,34,0
"1909","O Henry ",3,20,26,0
"1910","AP Igglesden ",3,20,31,0
"1911","MR Johnson ",2,20,19,0
"1912","MMA Jonkman ",2,20,51,0
"1913","BM Mauricette ",3,20,68,0
"1914","CT Mumba ",5,20,25,0
"1915","DT Mutendera ",4,20,43,0
"1916","IL Philip ",3,20,89,0
"1917","ADJ Pitcher ",3,20,28,0
"1918","Rizwan-uz-Zaman ",3,20,129,0
"1919","AF Sattaur ",3,20,60,0
"1920","PH Sharma ",2,20,39,0
"1921","S Shivnarine ",1,20,43,0
"1922","Umair Ali ",2,20,30,0
"1923","KIW Wijegunawardene ",12,20,55,0
"1924","JP Behrendorff ",5,19,15,0
"1925","S Bhari ",2,19,30,0
"1926","JJ Bumrah ",15,19,44,0
"1927","JW Dernbach ",8,19,39,0
"1928","EL Gouka ",2,19,36,0
"1929","RGA Headley ",1,19,41,0
"1930","S Jora ",1,19,20,0
"1931","T Kumaran ",3,19,27,0
"1932","MA Meman ",1,19,22,0
"1933","V Permaul ",4,19,26,0
"1934","HSM Pieris ",3,19,59,0
"1935","Sami Faridi ",2,19,31,0
"1936","MJ Smith ",5,19,85,0
"1937","Sunzamul Islam ",1,19,24,0
"1938","C Viljoen ",2,19,23,0
"1939","AG Wharf ",5,19,28,0
"1940","KOK Williams ",5,19,27,0
"1941","SG Borthwick ",2,18,16,0
"1942","DL Chahar ",2,18,22,0
"1943","CEH Croft ",6,18,38,0
"1944","HJ Howarth ",5,18,26,0
"1945","Jamaluddin Ahmed ",1,18,28,0
"1946","F Kasteni ",3,18,42,0
"1947","AV Lalcheta ",2,18,47,0
"1948","JJC Lawson ",5,18,16,0
"1949","Munir Dar ",2,18,16,0
"1950","Saleem Pervez ",1,18,39,0
"1951","LR Shukla ",2,18,19,0
"1952","Sultan Ahmed ",2,18,42,0
"1953","Syed Maqsood ",2,18,43,0
"1954","Tanvir Ahmed ",1,18,12,0
"1955","K Whatham ",1,18,41,0
"1956","RGCE Wijesuriya ",3,18,48,0
"1957","Zulqarnain ",6,18,30,0
"1958","GI Allott ",11,17,56,0
"1959","IS Gallage ",2,17,27,0
"1960","RD Gudhka ",2,17,14,0
"1961","MJ Hoggard ",6,17,30,0
"1962","Ilyas Gull ",2,17,59,0
"1963","Intikhab Alam ",2,17,45,0
"1964","IT Iqbal ",2,17,52,0
"1965","RSA Jayasekera ",1,17,42,0
"1966","KCB Jeremy ",4,17,42,0
"1967","RJ Kennedy ",4,17,15,0
"1968","CBRLS Kumara ",6,17,45,0
"1969","P Lever ",3,17,24,0
"1970","PHKD Mendis ",2,17,38,0
"1971","Raqibul Hasan ",2,17,65,0
"1972","CEW Silverwood ",4,17,34,0
"1973","S Abrahams ",1,16,26,0
"1974","RW Anderson ",2,16,46,0
"1975","JH Desai ",1,16,38,0
"1976","AM Guruge ",4,16,29,0
"1977","N Ifill ",3,16,45,0
"1978","Jahangir Shah ",4,16,62,0
"1979","RL Johnson ",4,16,20,0
"1980","SB Lama ",1,16,48,0
"1981","BP Loots ",5,16,27,0
"1982","RAL Massie ",1,16,24,0
"1983","B Muzarabani ",15,16,89,0
"1984","KJ O'Keeffe ",2,16,38,0
"1985","FN Otieno ",4,16,68,0
"1986","ADG Roberts ",1,16,24,0
"1987","V Shetty ",2,16,29,0
"1988","Shubman Gill ",2,16,32,0
"1989","CB Sole ",5,16,36,0
"1990","S Somasunder ",2,16,63,0
"1991","BTJ Wheal ",7,16,31,0
"1992","PJW Allott ",6,15,25,0
"1993","KN Amalean ",3,15,26,0
"1994","RR Beaton ",2,15,51,0
"1995","HF Gurney ",6,15,33,0
"1996","JR Hammond ",1,15,28,0
"1997","RS Higgins ",8,15,63,0
"1998","DAW Hollis ",1,15,26,0
"1999","Irfan Fazil ",1,15,16,0
"2000","GE Kidd ",1,15,25,0
"2001","BW Luckhurst ",3,15,69,0
"2002","Mansoor Rana ",2,15,24,0
"2003","Mohammad Zahid ",4,15,22,0
"2004","J Mulder ",2,15,11,0
"2005","EMDY Munaweera ",2,15,29,0
"2006","Nurul Abedin ",4,15,55,0
"2007","HD Rutherford ",4,15,56,0
"2008","Sajjad Ahmed ",2,15,46,0
"2009","R Shepherd ",3,15,23,0
"2010","DM Smith ",2,15,40,0
"2011","LW Stokkers ",1,15,40,0
"2012","Tariq Javed ",3,15,77,0
"2013","PCR Tufnell ",10,15,31,0
"2014","PS Vaidya ",2,15,12,0
"2015","A van der Merwe ",6,15,25,0
"2016","AP Wells ",1,15,10,0
"2017","Zafar Gohar ",1,15,15,0
"2018","Ahsan Malik ",5,14,27,0
"2019","Asghar Ali ",2,14,53,0
"2020","Asif Mahmood ",2,14,34,0
"2021","IPP Batuwitarachchi ",2,14,48,0
"2022","AR Butcher ",1,14,26,0
"2023","G Chapple ",1,14,7,0
"2024","LA Dawson ",2,14,17,0
"2025","HS Dhillon ",2,14,35,0
