"","Player","Start","End","Matches","Innings","NotOuts","Runs","HighScore","HighScoreNotOut","Average","BallsFaced","StrikeRate","Hundreds","Fifties","Ducks"
"84","Q de Kock ",2013,2020,121,121,6,5135,178,FALSE,44.6521739130435,5414,94.8466937569265,15,25,4
"85","CG Greenidge ",1975,1991,128,127,13,5134,133,TRUE,45.0350877192982,7908,64.9215983813859,11,31,3
"86","Misbah-ul-Haq ",2002,2015,162,149,31,5122,96,TRUE,43.4067796610169,6945,73.7508999280058,0,42,6
"87","JP Duminy ",2004,2019,199,179,40,5117,150,TRUE,36.8129496402878,6052,84.5505617977528,4,27,7
"88","PD Collingwood ",2001,2011,197,181,37,5092,120,TRUE,35.3611111111111,6614,76.9882068339885,5,26,7
"89","A Symonds ",1998,2009,198,161,33,5088,156,FALSE,39.75,5504,92.4418604651163,6,30,15
"90","Abdul Razzaq ",1996,2011,265,228,57,5080,112,FALSE,29.7076023391813,6252,81.2539987204095,3,23,14
"91","CL Cairns ",1991,2006,215,193,25,4950,115,FALSE,29.4642857142857,5874,84.2696629213483,4,26,9
"92","AJ Finch ",2013,2020,126,122,3,4882,153,TRUE,41.0252100840336,5503,88.7152462293295,16,26,11
"93","Aamer Sohail ",1990,2000,156,155,5,4780,134,FALSE,31.8666666666667,7297,65.5063724818419,5,31,10
"94","CD McMillan ",1997,2007,197,183,16,4707,117,FALSE,28.185628742515,6198,75.9438528557599,3,28,9
"95","MD Crowe ",1982,1995,143,140,18,4704,107,TRUE,38.5573770491803,6476,72.6374305126621,4,34,3
"96","MV Boucher ",1998,2011,295,221,57,4686,147,TRUE,28.5731707317073,5528,84.7684515195369,1,26,16
"97","AJ Stewart ",1989,2003,170,162,14,4677,116,FALSE,31.6013513513514,6841,68.3671977781026,4,28,13
"98","SB Styris ",1999,2011,188,161,23,4483,141,FALSE,32.4855072463768,5645,79.4154118689105,4,28,9
"99","KP Pietersen ",2004,2013,136,125,16,4440,130,FALSE,40.7339449541284,5128,86.5834633385335,9,25,7
"100","NS Sidhu ",1987,1998,136,127,8,4413,134,TRUE,37.0840336134454,6329,69.7266550797914,6,33,7
"101","CZ Harris ",1990,2004,250,213,62,4379,130,FALSE,29,6583,66.5198237885462,1,16,12
"102","GR Marsh ",1986,1992,117,115,6,4357,126,TRUE,39.9724770642202,7790,55.9306803594352,9,22,4
"103","E Chigumbura ",2004,2018,213,198,26,4340,117,FALSE,25.2325581395349,5423,80.0295039645952,2,19,17
"104","ME Trescothick ",2000,2006,123,122,6,4335,137,FALSE,37.3706896551724,5087,85.2172203656379,12,21,13
"105","GA Gooch ",1976,1995,125,122,6,4290,142,FALSE,36.9827586206897,6932,61.8869013271783,8,23,4
"106","AJ Strauss ",2003,2011,127,126,8,4205,158,FALSE,35.635593220339,5195,80.9432146294514,6,27,9
"107","SPD Smith ",2010,2020,125,110,12,4162,164,FALSE,42.469387755102,4802,86.6722199083715,9,25,5
"108","PR Stirling ",2008,2020,117,114,2,4121,177,FALSE,36.7946428571429,4750,86.7578947368421,8,24,10
"109","WTS Porterfield ",2006,2020,139,136,3,4091,139,FALSE,30.7593984962406,5916,69.1514536849222,11,17,9
"110","K Srikkanth ",1981,1992,146,145,4,4091,123,FALSE,29.0141843971631,5702,71.7467555243774,4,27,11
"111","Mahmudullah ",2007,2020,188,163,42,4070,128,TRUE,33.6363636363636,5311,76.6334023724346,3,21,8
"112","AJ Lamb ",1982,1992,122,118,16,4010,118,FALSE,39.3137254901961,5308,75.5463451394122,4,26,8
"113","RP Arnold ",1997,2007,180,155,43,3950,103,FALSE,35.2678571428571,5443,72.5702737460959,1,28,7
"114","AP Gurusinha ",1985,1996,147,143,5,3902,117,TRUE,28.2753623188406,6409,60.8831330940864,2,22,12
"115","JG Wright ",1978,1992,149,148,1,3891,101,FALSE,26.469387755102,6804,57.1869488536155,1,24,9
"116","DJ Cullinan ",1993,2000,138,133,16,3860,124,FALSE,32.991452991453,5492,70.2840495265841,3,23,10
"117","GA Hick ",1991,2001,120,118,15,3846,126,TRUE,37.3398058252427,5191,74.0897707570796,5,27,10
"118","JC Buttler ",2012,2019,142,117,23,3843,150,FALSE,40.8829787234043,3207,119.831618334892,9,20,12
"119","HP Tillakaratne ",1986,2003,200,168,40,3789,104,FALSE,29.6015625,6588,57.5136612021858,2,13,10
"120","N Kapil Dev ",1978,1994,225,198,39,3783,175,TRUE,23.7924528301887,3979,95.0741392309625,1,14,13
"121","SC Williams ",2005,2020,133,129,18,3761,129,TRUE,33.8828828828829,4606,81.6543638732089,3,31,7
"122","Wasim Akram ",1984,2003,356,280,55,3717,86,FALSE,16.52,4208,88.3317490494296,0,6,28
"123","RS Kaluwitharana ",1990,2004,189,181,14,3711,102,TRUE,22.2215568862275,4776,77.7010050251256,2,23,24
"124","Imran Khan ",1974,1992,175,151,40,3709,102,TRUE,33.4144144144144,5105,72.6542605288932,1,19,6
"125","PV Simmons ",1987,1999,143,138,11,3675,122,FALSE,28.9370078740157,5407,67.9674496023673,5,18,14
"126","NV Knight ",1996,2003,100,100,10,3637,125,TRUE,40.4111111111111,5085,71.5240904621436,5,25,6
"127","LD Chandimal ",2010,2019,146,132,21,3599,111,FALSE,32.4234234234234,4855,74.129763130793,4,22,11
"128","L Klusener ",1996,2004,171,137,50,3576,103,TRUE,41.1034482758621,3977,89.917022881569,2,19,13
"129","KJ O'Brien ",2006,2020,145,133,17,3546,142,FALSE,30.5689655172414,3981,89.0730972117558,2,18,5
"130","SM Pollock ",1996,2008,303,205,72,3519,130,FALSE,26.4586466165414,4059,86.6962305986696,1,14,20
"131","MA Taylor ",1989,1997,113,110,1,3514,105,FALSE,32.2385321100917,5908,59.478672985782,1,28,4
"132","DB Vengsarkar ",1976,1991,129,120,19,3508,105,FALSE,34.7326732673267,5179,67.7350839930488,1,23,7
"133","Mohammad Ashraful ",2001,2013,177,169,13,3468,109,FALSE,22.2307692307692,4947,70.1030927835051,3,20,14
"134","JJ Roy ",2015,2020,87,83,2,3434,180,FALSE,42.3950617283951,3201,107.278975320212,9,18,7
"135","SO Tikolo ",1996,2014,135,130,12,3428,111,FALSE,29.0508474576271,4524,75.7736516357206,3,24,13
"136","HH Dippenaar ",1999,2007,107,95,14,3421,125,TRUE,42.2345679012346,5047,67.7828412918565,4,26,4
"137","A Flintoff ",1999,2009,141,122,16,3394,123,FALSE,32.0188679245283,3821,88.824914943732,3,18,9
"138","T Taibu ",2001,2012,150,137,21,3393,107,TRUE,29.25,5020,67.5896414342629,2,22,16
"139","KC Wessels ",1983,1994,109,105,7,3367,107,FALSE,34.3571428571429,6088,55.3055190538765,1,26,0
"140","Babar Azam ",2015,2019,74,72,10,3359,125,TRUE,54.1774193548387,3857,87.0884106818771,11,15,2
"141","AC Parore ",1992,2002,179,161,32,3314,108,FALSE,25.6899224806202,4867,68.0912266283131,1,14,19
"142","SD Hope ",2016,2020,78,73,10,3289,170,FALSE,52.2063492063492,4422,74.3781094527363,9,17,4
"143","Moin Khan ",1990,2004,219,183,41,3266,72,TRUE,23,4017,81.3044560617376,0,12,17
"144","Kamran Akmal ",2002,2017,157,138,14,3236,124,FALSE,26.0967741935484,3855,83.9429312581064,5,10,10
"145","DA Miller ",2010,2020,132,114,34,3231,139,FALSE,40.3875,3211,100.622858922454,5,14,8
"146","AN Cook ",2006,2014,92,92,4,3204,137,FALSE,36.4090909090909,4154,77.130476649013,5,19,7
"147","HDRL Thirimanne ",2010,2019,127,106,14,3194,139,TRUE,34.7173913043478,4419,72.2787961077167,4,21,7
"148","Umar Akmal ",2009,2019,121,110,17,3194,102,TRUE,34.3440860215054,3712,86.0452586206897,2,20,8
"149","DI Gower ",1978,1991,114,111,8,3170,158,FALSE,30.7766990291262,4218,75.1541014698909,7,12,6
"150","KR Rutherford ",1985,1995,121,115,9,3143,108,FALSE,29.6509433962264,4888,64.3003273322422,2,18,6
"151","BJ Haddin ",2001,2015,126,115,16,3122,110,FALSE,31.5353535353535,3706,84.2417701025364,2,16,2
"152","RJ Shastri ",1981,1992,150,128,21,3108,109,FALSE,29.0467289719626,5089,61.0729023383769,4,18,5
"153","SM Gavaskar ",1974,1987,108,102,14,3092,103,TRUE,35.1363636363636,4966,62.2633910592026,1,27,8
"154","DS Lehmann ",1996,2005,117,101,22,3078,119,FALSE,38.9620253164557,3784,81.3424947145877,4,17,4
"155","GJ Bailey ",2012,2016,90,85,10,3044,156,FALSE,40.5866666666667,3645,83.5116598079561,3,22,3
"156","V Sibanda ",2003,2016,127,126,4,2994,116,FALSE,24.5409836065574,4716,63.4860050890585,2,21,14
"157","DJ Bravo ",2004,2014,164,141,24,2968,112,TRUE,25.3675213675214,3606,82.3072656683306,2,10,11
"158","AM Rahane ",2011,2018,90,87,3,2962,111,FALSE,35.2619047619048,3767,78.6302097159543,3,24,6
"159","HH Streak ",1993,2005,189,159,55,2943,79,TRUE,28.2980769230769,4008,73.4281437125749,0,13,6
"160","JM Bairstow ",2011,2020,77,70,8,2923,141,TRUE,47.1451612903226,2797,104.504826599929,9,11,5
"161","DM Bravo ",2009,2020,113,108,13,2902,124,FALSE,30.5473684210526,4132,70.2323330106486,3,18,8
"162","WW Hinds ",1999,2010,119,111,10,2880,127,TRUE,28.5148514851485,4393,65.5588436148418,5,14,8
"163","GJ Maxwell ",2012,2019,110,100,11,2877,102,FALSE,32.3258426966292,2332,123.370497427101,1,19,9
"164","MDKJ Perera ",2013,2020,101,96,5,2825,135,FALSE,31.043956043956,3051,92.5925925925926,5,14,9
"165","IJL Trott ",2009,2013,68,65,10,2819,137,FALSE,51.2545454545455,3658,77.0639693821761,4,22,5
"166","AL Logie ",1981,1993,158,133,36,2809,109,TRUE,28.9587628865979,3801,73.9016048408314,1,14,13
"167","Sikandar Raza ",2013,2020,100,96,15,2801,141,FALSE,34.5802469135802,3388,82.6741440377804,3,16,1
"168","AH Jones ",1987,1995,87,87,9,2784,93,FALSE,35.6923076923077,4811,57.8673872375805,0,25,4
"169","Mohammad Nabi ",2009,2019,124,112,12,2782,116,FALSE,27.82,3252,85.5473554735547,1,15,6
"170","SE Marsh ",2008,2019,73,72,4,2773,151,FALSE,40.7794117647059,3406,81.4151497357604,7,15,3
"171","M Kaif ",2002,2006,125,110,24,2753,111,TRUE,32.0116279069767,3822,72.0303506017792,2,17,8
"172","SV Carlisle ",1995,2005,111,107,8,2740,121,TRUE,27.6767676767677,4325,63.3526011560694,3,9,11
"173","Mohammad Shahzad ",2009,2019,84,84,3,2727,131,TRUE,33.6666666666667,3082,88.4815055158988,6,14,4
"174","Salman Butt ",2004,2010,78,78,4,2725,136,FALSE,36.8243243243243,3572,76.2877939529675,8,14,15
"175","RG Twose ",1995,2001,87,81,11,2717,103,FALSE,38.8142857142857,3603,75.4093810713294,1,20,5
"176","GJ Whittall ",1993,2003,147,142,22,2705,83,FALSE,22.5416666666667,4011,67.4395412615308,0,11,12
"177","TWM Latham ",2012,2020,99,92,10,2696,137,FALSE,32.8780487804878,3232,83.4158415841584,4,16,7
"178","RS Bopara ",2007,2015,120,109,21,2695,101,TRUE,30.625,3462,77.8451761987291,1,14,4
"179","BA Stokes ",2011,2019,95,81,15,2682,102,TRUE,40.6363636363636,2855,93.9404553415061,3,20,5
"180","Mudassar Nazar ",1977,1989,122,115,10,2653,95,FALSE,25.2666666666667,5130,51.7153996101364,0,16,6
"181","EC Joyce ",2006,2018,78,77,8,2622,160,TRUE,38,3630,72.2314049586777,6,15,5
"182","Ahmed Shehzad ",2009,2017,81,81,1,2605,124,FALSE,32.5625,3614,72.0807969009408,6,14,7
"183","NJ O'Brien ",2006,2018,103,101,9,2581,109,FALSE,28.054347826087,3638,70.9455744914788,1,18,3
"184","Zaheer Abbas ",1974,1985,62,60,6,2572,123,FALSE,47.6296296296296,3033,84.8005275304979,7,13,2
"185","CR Ervine ",2010,2019,93,90,11,2571,130,TRUE,32.5443037974684,3406,75.4844392248972,3,15,7
"186","AC Hudson ",1991,1997,89,88,1,2559,161,FALSE,29.4137931034483,3960,64.6212121212121,2,18,6
"187","KA Pollard ",2007,2020,113,104,8,2496,119,FALSE,26,2637,94.6530147895336,3,10,14
"188","VG Kambli ",1991,2000,104,97,21,2477,106,FALSE,32.5921052631579,3443,71.9430729015394,2,14,4
"189","Imrul Kayes ",2008,2018,78,78,2,2434,144,FALSE,32.0263157894737,3423,71.107215892492,4,16,2
"190","JDP Oram ",2001,2012,160,116,15,2434,101,TRUE,24.0990099009901,2810,86.6192170818505,1,13,8
"191","TM Odoyo ",1996,2014,136,119,16,2420,111,TRUE,23.495145631068,3438,70.3897614892379,1,8,13
"192","AD Hales ",2014,2019,70,67,3,2419,171,FALSE,37.796875,2527,95.7261574990107,6,14,5
"193","RA Smith ",1988,1996,71,70,8,2419,167,TRUE,39.0161290322581,3473,69.6515980420386,4,15,4
"194","L Vincent ",2001,2007,102,99,10,2413,172,FALSE,27.1123595505618,3453,69.8812626701419,3,11,8
"195","KJ Coetzer ",2008,2019,59,57,2,2409,156,FALSE,43.8,2795,86.1896243291592,4,17,5
"196","CJ Chibhabha ",2005,2020,104,104,2,2399,99,FALSE,23.5196078431373,3806,63.0320546505518,0,16,7
"197","GP Thorpe ",1993,2002,82,77,13,2380,89,FALSE,37.1875,3344,71.1722488038278,0,21,3
"198","Rahmat Shah ",2013,2019,73,69,2,2359,114,FALSE,35.2089552238806,3366,70.0831847890671,4,16,3
"199","Asghar Afghan ",2009,2019,111,105,9,2356,101,FALSE,24.5416666666667,3531,66.7233078448032,1,12,7
"200","VVS Laxman ",1998,2006,86,83,7,2338,131,FALSE,30.7631578947368,3282,71.2370505789153,6,10,3
"201","RR Singh ",1989,2001,136,113,23,2336,100,FALSE,25.9555555555556,3144,74.3002544529262,1,9,5
"202","N Hussain ",1989,2003,88,87,10,2332,115,FALSE,30.2857142857143,3481,66.9922436081586,1,16,6
"203","GS Chappell ",1971,1983,74,72,14,2331,138,TRUE,40.1896551724138,3079,75.7063981812277,3,14,7
"204","NLTC Perera ",2009,2020,164,131,16,2316,140,FALSE,20.1391304347826,2057,112.591152163345,1,10,11
"205","Sarfaraz Ahmed ",2007,2019,116,90,22,2302,105,FALSE,33.8529411764706,2622,87.7955758962624,2,11,1
"206","RA Jadeja ",2009,2020,165,110,38,2296,87,FALSE,31.8888888888889,2671,85.9603144889554,0,12,6
"207","SL Campbell ",1994,2001,90,87,0,2283,105,FALSE,26.2413793103448,3853,59.2525304957176,2,14,9
"208","DL Vettori ",1997,2015,295,187,57,2253,83,FALSE,17.3307692307692,2715,82.9834254143646,0,4,23
"209","S Matsikenyeri ",2002,2015,113,110,9,2224,90,FALSE,22.019801980198,3072,72.3958333333333,0,13,8
"210","GM Wood ",1978,1989,83,77,11,2219,114,TRUE,33.6212121212121,3725,59.5704697986577,3,11,4
"211","MJ Greatbatch ",1988,1996,84,83,5,2206,111,FALSE,28.2820512820513,3099,71.1842529848338,2,13,7
"212","JC Adams ",1992,2001,127,105,28,2204,82,FALSE,28.6233766233766,3614,60.9850581073603,0,14,7
"213","Shahriar Nafees ",2005,2011,75,75,5,2201,123,TRUE,31.4428571428571,3167,69.4979475844648,4,13,11
"214","D Ramdin ",2005,2016,139,110,22,2200,169,FALSE,25,2738,80.3506208911614,2,8,4
"215","CS MacLeod ",2008,2019,66,64,6,2175,175,FALSE,37.5,2623,82.9203202439954,8,8,8
"216","Habibul Bashar ",1995,2007,111,105,5,2168,78,FALSE,21.68,3586,60.457334076966,0,14,18
"217","BKG Mendis ",2016,2020,76,74,3,2167,119,FALSE,30.5211267605634,2559,84.6815162172724,2,17,10
"218","IT Botham ",1976,1992,116,106,15,2113,79,FALSE,23.2197802197802,2671,79.1089479595657,0,9,6
"219","MW Gatting ",1977,1993,92,88,17,2095,115,TRUE,29.5070422535211,2968,70.5862533692722,1,9,4
"220","NH Fairbrother ",1987,1999,75,71,18,2092,113,FALSE,39.4716981132075,2903,72.0633827075439,1,16,2
"221","RL Powell ",1999,2005,109,100,16,2085,124,FALSE,24.8214285714286,2157,96.6620305980529,1,8,8
"222","CL White ",2005,2018,91,77,16,2072,105,FALSE,33.9672131147541,2586,80.123743232792,2,11,4
"223","GC Wilson ",2007,2019,105,99,12,2072,113,FALSE,23.816091954023,2880,71.9444444444444,1,12,6
"224","CO Obuya ",2001,2014,104,89,9,2044,98,TRUE,25.55,2981,68.5675947668568,0,11,6
